Ameris Bancorp PE Ratio Historical Data,Ameris Bancorp PE Ratio Historical Data,Ameris Bancorp PE Ratio Historical Data,Ameris Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,66.46,,14.7
2024-06-30,50.23,$4.52,11.11
2024-03-31,48.12,$4.11,11.71
2023-12-31,52.6,$3.90,13.49
2023-09-30,37.96,$4.12,9.21
2023-06-30,33.69,$4.30,7.84
2023-03-31,35.87,$4.69,7.65
2022-12-31,46.03,$4.99,9.23
2022-09-30,43.52,$4.99,8.72
2022-06-30,38.98,$4.82,8.09
2022-03-31,42.41,$4.79,8.85
2021-12-31,47.86,$5.41,8.85
2021-09-30,49.83,$5.59,8.91
2021-06-30,48.49,$6.09,7.96
2021-03-31,50.15,$5.29,9.48
2020-12-31,36.25,$3.78,9.59
2020-09-30,21.61,$3.30,6.55
2020-06-30,22.23,$1.94,11.46
2020-03-31,22.25,$2.29,9.71
2019-12-31,39.58,$2.85,13.89
2019-09-30,37.31,$2.88,12.95
2019-06-30,36.2,$3.44,10.52
2019-03-31,31.65,$2.86,11.06
2018-12-31,29.09,$2.72,10.7
2018-09-30,41.85,$2.05,20.41
2018-06-30,48.75,$1.72,28.34
2018-03-31,48.25,$2.10,22.97
2017-12-31,43.88,$1.99,22.05
2017-09-30,43.6,$2.27,19.21
2017-06-30,43.69,$2.34,18.67
2017-03-31,41.7,$2.29,18.21
2016-12-31,39.35,$2.07,19.01
2016-09-30,31.48,$1.98,15.9
2016-06-30,26.67,$1.85,14.42
2016-03-31,26.52,$1.32,20.09
2015-12-31,30.42,$1.27,23.95
2015-09-30,25.69,$1.23,20.89
2015-06-30,22.56,$1.18,19.12
2015-03-31,23.5,$1.46,16.09
2014-12-31,22.78,$1.46,15.61
2014-09-30,19.47,$1.11,17.54
2014-06-30,19.04,$0.94,20.25
2014-03-31,20.57,$0.88,23.38
2013-12-31,18.64,$0.76,24.52
2013-09-30,16.23,$0.87,18.65
2013-06-30,14.88,$0.65,22.89
2013-03-31,12.67,$0.46,27.54
2012-12-31,11.03,$0.45,24.51
2012-09-30,11.12,$0.31,35.86
2012-06-30,11.12,$0.93,11.96
2012-03-31,11.6,$0.92,12.61
2011-12-31,9.08,$0.75,12.1
2011-09-30,7.69,$0.78,9.86
2011-06-30,7.83,$0.05,156.63
2011-03-31,8.97,$-0.21,0.0
2010-12-31,9.31,$-0.40,0.0
2010-09-30,8.26,$-3.26,0.0
2010-06-30,8.53,$-3.25,0.0
2010-03-31,7.93,$-3.30,0.0
2009-12-31,6.24,$-3.21,0.0
