Stifel Financial PE Ratio Historical Data,Stifel Financial PE Ratio Historical Data,Stifel Financial PE Ratio Historical Data,Stifel Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,102.42,,21.75
2024-06-30,83.74,$4.71,17.78
2024-03-31,77.79,$4.40,17.68
2023-12-31,68.43,$4.28,15.99
2023-09-30,60.45,$4.33,13.96
2023-06-30,58.38,$5.02,11.63
2023-03-31,57.44,$5.21,11.03
2022-12-31,56.44,$5.32,10.61
2022-09-30,49.96,$6.01,8.31
2022-06-30,53.64,$6.34,8.46
2022-03-31,64.72,$6.65,9.73
2021-12-31,66.84,$6.66,10.04
2021-09-30,64.37,$6.09,10.57
2021-06-30,61.3,$5.52,11.1
2021-03-31,60.42,$4.85,12.46
2020-12-31,47.47,$4.53,10.48
2020-09-30,31.63,$3.87,8.17
2020-06-30,29.58,$3.77,7.84
2019-12-31,37.57,$3.66,10.27
2019-09-30,35.46,$3.50,10.13
2019-06-30,36.39,$3.32,10.96
2019-03-31,32.42,$3.28,9.88
2018-12-31,25.38,$3.16,8.03
2020-03-31,25.65,$2.95,8.71
2018-09-30,31.34,$2.19,14.29
2018-06-30,31.87,$1.89,16.89
2018-03-31,36.06,$1.61,22.35
2017-12-31,36.19,$1.43,25.37
2017-09-30,32.42,$1.67,19.38
2017-06-30,27.83,$1.29,21.63
2017-03-31,30.38,$0.95,31.86
2016-12-31,30.23,$0.67,44.89
2016-09-30,23.27,$0.56,41.56
2016-06-30,19.04,$0.57,33.59
2016-03-31,17.92,$0.66,27.14
2015-12-31,25.64,$0.79,32.32
2015-09-30,25.48,$1.09,23.45
2015-06-30,34.95,$1.29,27.16
2015-03-31,33.74,$1.49,22.59
2014-12-31,30.88,$1.54,20.05
2014-09-30,28.38,$1.58,17.96
2014-06-30,28.66,$1.85,15.46
2014-03-31,30.12,$1.73,17.37
2013-12-31,29.0,$1.45,19.96
2013-09-30,24.95,$1.45,17.24
2013-06-30,21.59,$1.23,17.6
2013-03-31,20.98,$1.24,16.92
2012-12-31,19.35,$1.47,13.19
2012-09-30,20.34,$1.33,15.25
2012-06-30,18.7,$1.17,16.03
2012-03-31,22.9,$0.92,24.89
2011-12-31,19.4,$0.89,21.88
2011-09-30,16.08,$1.03,15.59
2011-06-30,21.7,$-0.11,0.0
2011-03-31,28.97,$0.12,241.39
2010-12-31,25.03,$0.09,288.73
2010-09-30,18.68,$-0.03,0.0
2010-06-30,17.51,$1.18,14.86
2010-03-31,21.69,$1.14,19.06
2009-12-31,23.9,$1.03,23.13
