Colliers Group PE Ratio Historical Data,Colliers Group PE Ratio Historical Data,Colliers Group PE Ratio Historical Data,Colliers Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,150.41,,51.16
2024-06-30,111.65,$2.94,37.98
2024-03-31,122.07,$2.05,59.54
2023-12-31,126.35,$1.32,95.72
2023-09-30,95.01,$0.41,231.73
2023-06-30,97.94,$0.15,652.96
2023-03-31,105.12,$0.98,107.27
2022-12-31,91.67,$1.03,89.0
2022-09-30,91.14,$1.44,63.29
2022-06-30,109.09,$1.57,69.48
2022-03-31,129.48,$-9.63,0.0
2021-12-31,147.6,$-9.10,0.0
2021-09-30,126.68,$-9.22,0.0
2021-06-30,111.08,$-9.10,0.0
2021-03-31,97.41,$1.17,83.25
2020-12-31,88.37,$1.17,75.53
2020-09-30,66.09,$1.57,42.09
2020-06-30,56.79,$1.79,31.73
2020-03-31,47.53,$2.65,17.94
2019-12-31,77.2,$2.58,29.92
2019-09-30,74.26,$2.71,27.4
2019-06-30,70.87,$2.38,29.78
2019-03-31,66.01,$2.38,27.74
2018-12-31,54.41,$2.47,22.03
2018-09-30,76.61,$2.00,38.3
2018-06-30,74.78,$1.70,43.99
2018-03-31,68.56,$1.38,49.68
2017-12-31,59.58,$1.25,47.66
2017-09-30,49.02,$1.53,32.04
2017-06-30,55.68,$1.66,33.54
2017-03-31,46.52,$1.93,24.1
2016-12-31,36.22,$1.74,20.82
2016-09-30,41.4,$1.52,27.24
2016-06-30,33.6,$1.48,22.7
2016-03-31,37.2,$0.03,1240.15
2015-12-31,43.78,$0.39,112.25
2015-09-30,39.85,$-0.07,0.0
2015-06-30,37.78,$0.19,198.84
2015-03-31,41.01,$1.30,31.55
2014-12-31,32.18,$0.97,33.17
2014-09-30,32.97,$0.54,61.06
2014-06-30,31.88,$0.11,289.83
2014-03-31,29.88,$-0.31,0.0
2013-12-31,27.02,$-0.70,0.0
2013-09-30,24.29,$-0.59,0.0
2013-06-30,19.54,$-0.62,0.0
2013-03-31,20.74,$-0.13,0.0
2012-12-31,17.57,$-0.13,0.0
2012-09-30,17.4,$1.74,10.0
2012-06-30,17.41,$1.91,9.12
2012-03-31,19.07,$1.74,10.96
2011-12-31,16.49,$1.96,8.41
2011-09-30,16.01,$-0.17,0.0
2011-06-30,21.5,$-0.16,0.0
2011-03-31,23.67,$-0.19,0.0
2010-12-31,18.79,$0.12,156.57
2010-09-30,15.02,$-0.08,0.0
2010-06-30,12.97,$-0.10,0.0
2010-03-31,14.23,$-0.25,0.0
2009-12-31,11.9,$-1.88,0.0
