Cenovus Energy Inc PE Ratio Historical Data,Cenovus Energy Inc PE Ratio Historical Data,Cenovus Energy Inc PE Ratio Historical Data,Cenovus Energy Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.98,,9.13
2024-06-30,19.44,$1.86,10.45
2024-03-31,19.53,$1.80,10.85
2023-12-31,16.18,$1.58,10.24
2023-09-30,20.11,$1.58,12.73
2023-06-30,16.32,$1.48,11.02
2023-03-31,16.67,$2.08,8.02
2022-12-31,18.45,$2.46,7.5
2022-09-30,14.49,$2.01,7.21
2022-06-30,17.85,$1.60,11.15
2022-03-31,15.6,$0.76,20.53
2021-12-31,11.47,$0.22,52.12
2021-09-30,9.37,$0.28,33.47
2021-06-30,8.91,$-0.05,0.0
2021-03-31,6.98,$-0.28,0.0
2020-12-31,5.6,$-1.45,0.0
2020-09-30,3.61,$-1.28,0.0
2020-06-30,4.33,$-1.04,0.0
2020-03-31,1.87,$0.18,10.41
2019-12-31,9.25,$1.34,6.9
2019-09-30,8.51,$0.43,19.79
2019-06-30,7.97,$0.16,49.8
2019-03-31,7.81,$-1.18,0.0
2018-12-31,6.3,$-1.67,0.0
2018-09-30,8.94,$-0.44,0.0
2018-06-30,9.21,$-0.34,0.0
2018-03-31,7.55,$1.68,4.49
2017-12-31,8.03,$2.29,3.51
2017-09-30,8.78,$1.98,4.43
2017-06-30,6.43,$1.80,3.57
2017-03-31,9.81,$-0.21,0.0
2016-12-31,13.1,$-0.50,0.0
2016-09-30,12.41,$-1.16,0.0
2016-06-30,11.9,$0.72,16.53
2016-03-31,11.16,$1.09,10.24
2015-12-31,10.81,$0.48,22.52
2015-09-30,12.86,$0.57,22.57
2015-06-30,13.46,$-0.66,0.0
2015-03-31,14.01,$-0.03,0.0
2014-12-31,16.91,$0.98,17.25
2014-09-30,21.76,$1.40,15.55
2014-06-30,26.0,$1.45,17.93
2014-03-31,23.07,$0.93,24.81
2013-12-31,22.62,$0.85,26.61
2013-09-30,23.38,$0.76,30.77
2013-06-30,22.17,$0.67,33.09
2013-03-31,23.89,$0.95,25.15
2012-12-31,25.67,$1.30,19.74
2012-09-30,26.49,$1.81,14.64
2012-06-30,24.02,$2.09,11.49
2012-03-31,26.96,$2.50,10.78
2011-12-31,24.76,$2.00,12.38
2011-09-30,22.76,$1.75,13.01
2011-06-30,27.74,$1.37,20.25
2011-03-31,28.84,$0.67,43.04
2010-12-31,24.2,$1.29,18.76
2010-09-30,20.81,$1.22,17.06
