CyberArk Software PE Ratio Historical Data,CyberArk Software PE Ratio Historical Data,CyberArk Software PE Ratio Historical Data,CyberArk Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,295.65,,0.0
2024-06-30,273.42,$-0.32,0.0
2024-03-31,265.63,$-0.64,0.0
2023-12-31,219.05,$-1.62,0.0
2023-09-30,163.77,$-2.36,0.0
2023-06-30,156.33,$-2.81,0.0
2023-03-31,147.98,$-3.12,0.0
2022-12-31,129.65,$-3.21,0.0
2022-09-30,149.94,$-3.09,0.0
2022-06-30,127.96,$-3.02,0.0
2022-03-31,168.75,$-2.67,0.0
2021-12-31,173.28,$-2.12,0.0
2021-09-30,157.82,$-1.40,0.0
2021-06-30,130.27,$-1.08,0.0
2021-03-31,129.34,$-0.61,0.0
2020-12-31,161.59,$-0.16,0.0
2020-09-30,103.42,$0.07,1477.43
2020-06-30,99.27,$0.87,114.1
2020-03-31,85.56,$1.32,64.82
2019-12-31,116.58,$1.62,71.96
2019-09-30,99.82,$1.73,57.7
2019-06-30,127.84,$1.56,81.95
2019-03-31,119.05,$1.45,82.1
2018-12-31,74.14,$1.27,58.38
2018-09-30,79.84,$0.73,109.37
2018-06-30,62.96,$0.56,112.43
2018-03-31,51.02,$0.42,121.48
2017-12-31,41.39,$0.45,91.98
2017-09-30,41.0,$0.63,65.08
2017-06-30,49.95,$0.78,64.04
2017-03-31,50.87,$0.87,58.47
2016-12-31,45.5,$0.78,58.33
2016-09-30,49.57,$0.78,63.55
2016-06-30,48.59,$0.72,67.49
2016-03-31,42.63,$0.66,64.59
2015-12-31,45.14,$0.54,83.59
2015-06-30,62.82,$0.37,169.78
2015-03-31,55.57,$0.42,132.31
