Gap PE Ratio Historical Data,Gap PE Ratio Historical Data,Gap PE Ratio Historical Data,Gap PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.24,,11.01
2024-07-31,23.31,$2.02,11.54
2024-04-30,20.24,$1.80,11.24
2024-01-31,18.32,$1.34,13.67
2023-10-31,12.45,$0.10,124.54
2023-07-31,9.88,$0.29,34.06
2023-04-30,9.05,$-0.16,0.0
2023-01-31,12.6,$-0.55,0.0
2022-10-31,10.33,$0.16,64.56
2022-07-31,8.68,$-1.01,0.0
2022-04-30,11.01,$-0.21,0.0
2022-01-31,15.85,$0.66,24.01
2021-10-31,19.77,$1.31,15.09
2021-07-31,25.29,$1.96,12.9
2021-04-30,28.59,$1.12,25.53
2021-01-31,17.36,$-1.82,0.0
2020-10-31,16.67,$-2.92,0.0
2020-07-31,11.46,$-2.80,0.0
2020-04-30,6.96,$-2.19,0.0
2020-01-31,14.92,$0.92,16.22
2019-10-31,13.75,$2.13,6.46
2019-07-31,16.24,$2.45,6.63
2019-04-30,21.44,$2.77,7.74
2019-01-31,20.72,$2.59,8.0
2018-10-31,22.23,$2.39,9.3
2018-07-31,24.35,$2.28,10.68
2018-04-30,23.42,$2.20,10.64
2018-01-31,26.41,$2.14,12.34
2017-10-31,20.51,$2.17,9.45
2017-07-31,18.66,$2.10,8.89
2017-04-30,20.3,$1.73,11.74
2017-01-31,17.68,$1.69,10.46
2016-10-31,20.96,$1.67,12.55
2016-07-31,19.39,$1.77,10.95
2016-04-30,17.24,$1.98,8.71
2016-01-31,18.24,$2.22,8.22
2015-10-31,19.91,$2.44,8.16
2015-07-31,26.47,$2.63,10.07
2015-04-30,28.6,$2.86,10.0
2015-01-31,29.56,$2.88,10.26
2014-10-31,27.05,$2.81,9.63
2014-07-31,28.48,$2.73,10.43
2014-04-30,27.76,$2.62,10.59
2014-01-31,26.75,$2.75,9.73
2013-10-31,25.85,$2.80,9.23
2013-07-31,31.74,$2.71,11.71
2013-04-30,26.18,$2.56,10.23
2013-01-31,22.43,$2.32,9.67
2012-10-31,24.41,$2.03,12.03
2012-07-31,20.09,$1.78,11.28
2012-04-30,19.32,$1.64,11.78
2012-01-31,12.81,$1.57,8.16
2011-10-31,12.68,$1.73,7.33
2011-07-31,12.85,$1.83,7.02
2011-04-30,15.39,$1.84,8.37
2011-01-31,12.7,$1.89,6.72
2010-10-31,12.47,$1.80,6.93
2010-07-31,11.82,$1.76,6.71
2010-04-30,16.05,$1.73,9.28
2010-01-31,12.33,$1.59,7.76
2009-10-31,13.74,$1.42,9.67
