GATX PE Ratio Historical Data,GATX PE Ratio Historical Data,GATX PE Ratio Historical Data,GATX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,134.4,,20.71
2024-06-30,131.81,$6.49,20.31
2024-03-31,132.88,$7.02,18.93
2023-12-31,118.64,$7.15,16.59
2023-09-30,106.91,$6.70,15.96
2023-06-30,125.87,$6.07,20.74
2023-03-31,107.1,$4.40,24.34
2022-12-31,103.0,$4.34,23.73
2022-09-30,82.09,$4.67,17.58
2022-06-30,90.29,$4.97,18.17
2022-03-31,117.63,$5.05,23.29
2021-12-31,98.88,$3.97,24.91
2021-09-30,84.58,$2.78,30.42
2021-06-30,83.07,$3.02,27.51
2021-03-31,86.62,$3.98,21.76
2020-12-31,77.29,$4.27,18.1
2020-09-30,58.9,$5.36,10.99
2020-06-30,55.92,$5.26,10.63
2020-03-31,56.92,$6.01,9.47
2019-12-31,74.88,$5.82,12.87
2019-09-30,69.69,$5.53,12.6
2019-06-30,70.87,$5.50,12.89
2019-03-31,67.84,$4.65,14.59
2018-12-31,62.53,$5.51,11.35
2018-09-30,76.02,$13.04,5.83
2018-06-30,64.83,$13.07,4.96
2018-03-31,59.45,$13.41,4.43
2017-12-31,53.61,$12.87,4.17
2017-09-30,52.72,$4.81,10.96
2017-06-30,54.65,$5.92,9.23
2017-03-31,51.51,$6.06,8.5
2016-12-31,51.66,$5.99,8.62
2016-09-30,37.13,$6.13,6.06
2016-06-30,36.29,$4.80,7.56
2015-12-31,34.48,$4.70,7.34
2015-09-30,35.45,$4.63,7.66
2015-06-30,42.33,$5.38,7.87
2015-03-31,45.88,$5.49,8.36
2014-12-31,45.25,$5.25,8.62
2016-03-31,38.86,$4.85,8.01
2014-09-30,45.63,$4.33,10.54
2014-06-30,52.05,$4.34,11.99
2014-03-31,52.52,$3.93,13.36
2013-12-31,40.15,$3.60,11.15
2013-09-30,36.34,$3.08,11.8
2013-06-30,36.04,$3.06,11.78
2013-03-31,39.24,$2.81,13.96
2012-12-31,32.49,$2.88,11.28
2012-09-30,31.62,$2.93,10.79
2012-06-30,28.49,$2.50,11.4
2012-03-31,29.59,$2.57,11.51
2011-12-31,31.83,$2.35,13.55
2011-09-30,22.44,$2.10,10.69
2011-06-30,26.65,$1.85,14.41
2011-03-31,27.54,$1.75,15.73
2010-12-31,24.92,$1.73,14.4
2010-09-30,20.55,$1.76,11.68
2010-06-30,18.53,$1.72,10.77
2010-03-31,19.7,$1.53,12.87
2009-12-31,19.57,$1.69,11.58
