New Oriental Education & Technology PE Ratio Historical Data,New Oriental Education & Technology PE Ratio Historical Data,New Oriental Education & Technology PE Ratio Historical Data,New Oriental Education & Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,68.28,,36.91
2024-05-31,79.15,$1.85,42.78
2024-02-29,92.62,$1.86,49.79
2023-11-30,80.59,$1.82,44.28
2023-08-31,53.71,$1.64,32.75
2023-05-31,37.3,$1.03,36.22
2023-02-28,38.34,$0.75,51.12
2022-11-30,28.46,$-0.45,0.0
2022-08-31,28.12,$-0.45,0.0
2022-05-31,12.93,$-0.83,0.0
2022-02-28,14.95,$-1.02,0.0
2021-11-30,21.88,$0.60,36.47
2021-08-31,22.38,$0.93,24.06
2021-05-31,101.3,$2.02,50.15
2021-02-28,175.89,$2.40,73.29
2020-11-30,163.24,$2.36,69.17
2020-08-31,145.2,$2.37,61.27
2020-05-31,118.79,$2.59,45.86
2020-02-29,126.64,$2.78,45.55
2019-11-30,119.9,$2.53,47.39
2019-08-31,112.29,$2.03,55.32
2019-05-31,84.81,$1.49,56.92
2019-02-28,81.26,$1.63,49.85
2018-11-30,56.6,$1.45,39.04
2018-08-31,77.83,$1.64,47.46
2018-05-31,98.5,$1.87,52.67
2018-02-28,90.5,$1.81,50.0
2017-11-30,84.03,$1.81,46.43
2017-08-31,80.52,$1.85,43.52
2017-05-31,70.59,$1.74,40.57
2017-02-28,47.68,$1.66,28.72
2016-11-30,49.42,$1.54,32.09
2016-08-31,38.89,$1.51,25.75
2016-05-31,41.61,$1.44,28.9
2016-02-29,30.66,$1.40,21.9
2015-11-30,28.58,$1.35,21.17
2015-08-31,19.79,$1.33,14.88
2015-05-31,23.01,$1.22,18.86
2015-02-28,18.5,$1.26,14.69
2014-11-30,21.36,$1.27,16.82
2014-08-31,22.03,$1.28,17.21
2014-05-31,24.94,$1.38,18.07
2014-02-28,26.89,$1.29,20.84
2013-11-30,28.67,$1.20,23.89
2013-08-31,20.17,$1.07,18.85
2013-05-31,21.21,$0.87,24.38
2013-02-28,14.44,$0.79,18.28
2012-11-30,19.15,$0.75,25.54
2012-08-31,13.21,$0.87,15.18
2012-05-31,24.63,$0.84,29.32
2012-02-29,24.63,$0.83,29.58
2011-11-30,23.45,$0.84,27.83
2011-08-31,28.34,$0.84,33.94
2011-05-31,26.9,$0.66,40.91
2011-02-28,22.44,$0.60,37.24
2010-11-30,24.57,$0.54,45.3
2010-08-31,22.9,$0.54,42.6
2010-05-31,21.29,$0.50,42.37
2010-02-28,18.16,$0.48,37.64
2009-11-30,16.56,$0.46,36.01
