Cohen & Steers Inc PE Ratio Historical Data,Cohen & Steers Inc PE Ratio Historical Data,Cohen & Steers Inc PE Ratio Historical Data,Cohen & Steers Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,105.35,,55.16
2024-09-30,95.95,$1.91,50.24
2024-06-30,72.04,$2.56,28.14
2024-03-31,75.71,$2.57,29.46
2023-12-31,73.97,$2.60,28.45
2023-09-30,60.58,$2.66,22.77
2023-06-30,55.56,$2.91,19.09
2023-03-31,60.64,$3.33,18.21
2022-12-31,60.73,$3.47,17.5
2022-09-30,58.41,$4.11,14.21
2022-06-30,58.89,$4.26,13.82
2022-03-31,78.95,$4.15,19.02
2021-12-31,84.44,$4.30,19.64
2021-09-30,75.18,$2.91,25.83
2021-06-30,73.3,$2.52,29.09
2021-03-31,57.97,$2.16,26.84
2020-12-31,65.49,$1.58,41.45
2020-09-30,48.08,$2.42,19.87
2020-06-30,58.33,$2.46,23.71
2020-03-31,38.7,$2.52,15.36
2019-12-31,53.11,$2.78,19.11
2019-09-30,44.87,$2.57,17.46
2019-06-30,41.74,$2.52,16.56
2019-03-31,34.05,$2.50,13.62
2018-12-31,27.41,$2.41,11.37
2018-09-30,30.06,$2.30,13.07
2018-06-30,30.64,$2.18,14.05
2018-03-31,29.62,$2.05,14.45
2017-12-31,34.17,$1.95,17.52
2017-09-30,27.74,$2.08,13.34
2017-06-30,28.27,$2.06,13.72
2017-03-31,27.67,$2.09,13.24
2016-12-31,23.09,$1.99,11.6
2016-09-30,28.75,$1.56,18.43
2016-06-30,27.03,$1.42,19.04
2016-03-31,25.84,$1.34,19.29
2015-12-31,20.09,$1.40,14.35
2015-09-30,17.66,$1.61,10.97
2015-06-30,21.73,$1.64,13.25
2015-03-31,25.94,$1.68,15.44
2014-12-31,26.5,$1.66,15.96
2014-09-30,23.55,$1.75,13.45
2014-06-30,26.44,$1.76,15.02
2014-03-31,24.16,$1.61,15.0
2013-12-31,24.15,$1.52,15.89
2013-09-30,20.67,$1.58,13.08
2013-06-30,19.77,$1.40,14.12
2013-03-31,20.87,$1.42,14.7
2012-12-31,17.53,$1.49,11.77
2012-09-30,16.09,$1.36,11.83
2012-06-30,18.56,$1.35,13.75
2012-03-31,17.06,$1.35,12.64
2011-12-31,15.37,$1.24,12.39
2011-09-30,15.21,$1.17,13.0
2011-06-30,16.97,$1.25,13.58
2011-03-31,15.12,$1.16,13.03
2010-12-31,13.23,$1.07,12.36
2010-09-30,10.96,$1.05,10.43
2010-06-30,9.48,$0.93,10.19
2010-03-31,11.36,$0.51,22.27
2009-12-31,10.35,$-0.04,0.0
