Lumen Technologies PE Ratio Historical Data,Lumen Technologies PE Ratio Historical Data,Lumen Technologies PE Ratio Historical Data,Lumen Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.18,,0.0
2024-06-30,1.1,$-2.10,0.0
2024-03-31,1.56,$-10.93,0.0
2023-12-31,1.83,$-10.47,0.0
2023-09-30,1.42,$-11.52,0.0
2023-06-30,2.26,$-10.87,0.0
2023-03-31,2.65,$-1.65,0.0
2022-12-31,5.22,$-1.67,0.0
2022-09-30,7.28,$1.92,3.79
2022-06-30,10.65,$1.81,5.88
2021-12-31,11.74,$1.91,6.15
2021-09-30,11.37,$-0.71,0.0
2021-06-30,12.22,$-0.88,0.0
2021-03-31,11.79,$-0.99,0.0
2020-12-31,8.45,$-1.14,0.0
2020-09-30,8.54,$1.19,7.18
2020-06-30,8.3,$1.13,7.35
2020-03-31,7.64,$1.13,6.76
2019-12-31,10.45,$-4.93,0.0
2019-09-30,9.7,$-7.40,0.0
2019-06-30,8.95,$-7.43,0.0
2019-03-31,8.91,$-7.51,0.0
2018-12-31,11.03,$-1.63,0.0
2018-09-30,14.98,$1.89,7.93
2018-06-30,12.85,$1.81,7.1
2018-03-31,11.0,$1.57,7.0
2017-12-31,10.83,$1.76,6.15
2017-09-30,11.81,$0.58,20.36
2017-06-30,14.52,$0.69,21.04
2017-03-31,14.04,$1.02,13.76
2016-12-31,13.85,$1.34,10.34
2016-09-30,15.63,$1.63,9.59
2016-06-30,16.22,$1.61,10.07
2015-12-31,13.55,$1.59,8.52
2015-09-30,13.27,$1.30,10.2
2015-06-30,15.21,$1.37,11.1
2015-03-31,17.6,$1.44,12.22
2014-12-31,19.87,$1.44,13.8
2016-03-31,17.51,$1.46,11.99
2014-09-30,20.25,$1.43,14.16
2014-06-30,17.7,$-0.66,0.0
2014-03-31,15.82,$-0.41,0.0
2013-12-31,15.09,$-0.32,0.0
2013-09-30,14.61,$-0.25,0.0
2022-03-31,10.79,$1.88,5.74
2013-06-30,16.19,$1.72,9.41
2013-03-31,15.84,$1.40,11.32
2012-12-31,17.37,$1.24,14.01
2012-09-30,17.6,$1.05,16.77
2012-06-30,16.92,$0.85,19.9
2012-03-31,16.24,$0.90,18.04
2011-12-31,15.34,$1.27,12.08
2011-09-30,13.39,$1.83,7.32
2011-06-30,16.0,$2.37,6.75
2011-03-31,16.17,$2.99,5.41
2010-12-31,17.66,$3.14,5.63
2010-09-30,14.85,$3.17,4.68
2010-06-30,12.29,$3.34,3.68
2010-03-31,12.81,$3.23,3.96
2009-12-31,12.8,$3.07,4.17
