Gaming And Leisure Properties PE Ratio Historical Data,Gaming And Leisure Properties PE Ratio Historical Data,Gaming And Leisure Properties PE Ratio Historical Data,Gaming And Leisure Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,50.97,,17.95
2024-06-30,44.55,$2.84,15.69
2023-12-31,47.01,$2.77,16.97
2023-09-30,42.72,$2.74,15.59
2023-06-30,44.78,$2.68,16.71
2023-03-31,47.42,$2.94,16.13
2022-12-31,46.57,$2.85,16.34
2024-03-31,44.63,$2.58,17.3
2022-09-30,39.02,$2.44,15.99
2022-06-30,39.86,$2.22,17.96
2022-03-31,40.19,$2.20,18.27
2021-12-31,41.04,$2.26,18.16
2021-09-30,38.32,$2.50,15.33
2021-06-30,37.8,$2.45,15.43
2021-03-31,34.14,$2.38,14.35
2020-12-31,33.59,$2.29,14.67
2020-09-30,28.84,$2.08,13.87
2020-06-30,26.6,$1.92,13.85
2020-03-31,21.21,$1.83,11.59
2019-12-31,32.43,$1.81,17.92
2019-09-30,28.32,$1.49,19.01
2019-06-30,28.37,$1.56,18.19
2019-03-31,27.6,$1.56,17.69
2018-12-31,22.69,$1.58,14.36
2018-09-30,24.27,$1.80,13.48
2018-06-30,24.21,$1.76,13.76
2018-03-31,22.24,$1.78,12.49
2017-12-31,24.12,$1.78,13.55
2017-09-30,23.64,$1.80,13.13
2017-06-30,23.75,$1.78,13.34
2017-03-31,20.72,$1.72,12.05
2016-12-31,18.6,$1.52,12.24
2016-09-30,19.92,$1.35,14.75
2016-06-30,20.18,$1.32,15.28
2015-12-31,15.65,$1.33,11.77
2015-09-30,16.39,$1.46,11.23
2015-06-30,19.87,$1.46,13.61
2015-03-31,19.68,$1.48,13.3
2014-12-31,15.4,$1.48,10.41
2016-03-31,17.79,$1.48,12.02
2014-09-30,15.77,$1.28,12.32
