International Bancshares PE Ratio Historical Data,International Bancshares PE Ratio Historical Data,International Bancshares PE Ratio Historical Data,International Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,65.72,,10.13
2024-06-30,56.56,$6.49,8.72
2024-03-31,55.51,$6.55,8.47
2023-12-31,53.04,$6.62,8.01
2023-09-30,42.32,$6.60,6.41
2023-06-30,42.58,$6.28,6.78
2023-03-31,41.25,$5.58,7.39
2022-12-31,43.48,$4.79,9.08
2022-09-30,40.39,$3.10,13.03
2022-06-30,37.59,$2.62,14.35
2022-03-31,39.59,$3.15,12.57
2021-12-31,39.2,$3.11,12.6
2021-09-30,38.5,$3.87,9.95
2021-06-30,39.13,$3.69,10.6
2021-03-31,42.3,$2.89,14.64
2020-12-31,33.65,$2.62,12.85
2020-09-30,23.43,$2.64,8.87
2020-06-30,28.24,$2.74,10.31
2020-03-31,23.71,$2.85,8.32
2019-12-31,37.22,$3.11,11.97
2019-09-30,33.38,$3.21,10.4
2019-06-30,32.14,$3.20,10.04
2019-03-31,32.41,$3.23,10.03
2018-12-31,28.93,$3.24,8.93
2018-09-30,37.49,$3.04,12.33
2018-06-30,35.66,$2.86,12.47
2018-03-31,32.41,$2.68,12.09
2017-12-31,32.8,$2.36,13.9
2017-09-30,33.13,$2.21,14.99
2017-06-30,28.72,$7.31,3.93
2017-03-31,29.01,$7.65,3.79
2016-12-31,33.13,$7.67,4.32
2016-09-30,24.18,$7.66,3.16
2016-06-30,20.97,$2.45,8.56
2016-03-31,19.82,$1.50,13.21
2015-12-31,20.41,$1.54,13.25
2015-09-30,19.88,$1.59,12.5
2015-06-30,21.09,$1.11,19.0
2015-03-31,20.43,$1.67,12.23
2014-12-31,20.6,$1.78,11.57
2014-09-30,19.14,$1.79,10.69
2014-06-30,20.73,$2.26,9.17
2014-03-31,19.26,$2.11,9.13
2013-12-31,20.03,$1.88,10.66
2013-09-30,16.43,$1.62,10.14
2013-06-30,16.98,$1.48,11.47
2013-03-31,15.64,$1.38,11.34
2012-12-31,13.47,$1.38,9.76
2012-09-30,14.2,$1.47,9.66
2012-06-30,14.39,$1.54,9.34
2012-03-31,15.59,$1.66,9.39
2011-12-31,13.39,$1.69,7.92
2011-09-30,9.61,$1.68,5.72
2011-06-30,12.04,$1.73,6.96
2011-03-31,13.2,$1.75,7.54
2010-12-31,14.27,$1.72,8.29
2010-09-30,12.03,$1.82,6.61
2010-06-30,11.75,$1.86,6.32
2010-03-31,16.21,$1.82,8.9
2009-12-31,13.22,$1.90,6.96
