Antero Midstream PE Ratio Historical Data,Antero Midstream PE Ratio Historical Data,Antero Midstream PE Ratio Historical Data,Antero Midstream PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.14,,18.93
2024-06-30,14.74,$0.80,18.43
2024-03-31,14.06,$0.80,17.58
2023-12-31,12.53,$0.77,16.27
2023-09-30,11.98,$0.73,16.41
2023-06-30,11.6,$0.70,16.57
2023-03-31,10.49,$0.69,15.2
2022-12-31,10.79,$0.68,15.87
2022-09-30,9.18,$0.67,13.7
2022-06-30,8.85,$0.69,12.82
2022-03-31,10.39,$0.69,15.05
2021-12-31,9.04,$0.69,13.1
2021-09-30,9.53,$0.69,13.82
2021-06-30,9.29,$0.72,12.9
2021-03-31,7.88,$0.73,10.79
2020-12-31,6.47,$-0.25,0.0
2020-09-30,4.29,$-0.70,0.0
2020-06-30,3.86,$-1.49,0.0
2020-03-31,1.49,$-1.53,0.0
2019-12-31,5.07,$-0.68,0.0
2019-09-30,4.72,$-0.29,0.0
2019-06-30,7.1,$0.37,19.19
2019-03-31,7.59,$0.30,25.29
2018-12-31,6.68,$0.33,20.25
2018-09-30,10.02,$0.26,38.54
2018-06-30,11.1,$0.19,58.41
2018-03-31,9.35,$0.11,85.01
