Vodafone Group PE Ratio Historical Data,Vodafone Group PE Ratio Historical Data,Vodafone Group PE Ratio Historical Data,Vodafone Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.73,,inf
2024-03-31,8.44,0.0,0.0
2023-09-30,8.53,0.0,0.0
2023-03-31,9.43,0.0,0.0
2022-09-30,9.26,0.0,0.0
2022-03-31,13.2,0.0,0.0
2021-09-30,11.88,0.0,0.0
2021-03-31,13.76,0.0,0.0
2020-09-30,9.71,0.0,0.0
2020-03-31,9.64,0.0,0.0
2019-09-30,13.6,0.0,0.0
2019-03-31,12.07,0.0,0.0
2018-09-30,14.01,0.0,0.0
2018-03-31,17.15,0.0,0.0
2017-09-30,17.2,0.0,0.0
2017-03-31,15.36,0.0,0.0
2016-09-30,16.6,0.0,0.0
2016-03-31,17.71,0.0,0.0
2015-09-30,17.27,0.0,0.0
2015-03-31,17.22,0.0,0.0
2014-09-30,17.06,0.0,0.0
2014-03-31,18.4,0.0,0.0
2013-09-30,31.72,0.0,0.0
2013-03-31,24.67,0.0,0.0
2012-09-30,24.26,0.0,0.0
2012-03-31,22.68,0.0,0.0
2011-09-30,20.22,0.0,0.0
2011-03-31,21.84,0.0,0.0
2010-09-30,18.53,0.0,0.0
