BRP PE Ratio Historical Data,BRP PE Ratio Historical Data,BRP PE Ratio Historical Data,BRP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,57.27,,23.76
2024-07-31,72.17,$2.41,29.95
2024-04-30,66.88,$5.53,12.09
2024-01-31,62.6,$7.02,8.92
2023-10-31,66.96,$8.58,7.8
2023-07-31,91.13,$9.30,9.8
2023-04-30,73.78,$8.40,8.78
2023-01-31,82.32,$8.13,10.13
2022-10-31,65.75,$6.73,9.77
2022-07-31,74.69,$6.63,11.27
2022-04-30,79.39,$6.34,12.52
2022-01-31,81.32,$7.39,11.0
2021-10-31,86.14,$7.68,11.22
2021-07-31,81.75,$8.13,10.06
2021-04-30,89.61,$7.17,12.5
2021-01-31,64.17,$3.05,21.04
2020-10-31,52.46,$1.79,29.31
2020-07-31,43.54,$1.25,34.84
2020-04-30,28.94,$0.93,31.12
2020-01-31,49.66,$3.04,16.34
2019-10-31,43.64,$2.67,16.34
2019-07-31,34.17,$2.24,15.26
