SouthState PE Ratio Historical Data,SouthState PE Ratio Historical Data,SouthState PE Ratio Historical Data,SouthState PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,102.98,,16.5
2024-06-30,75.95,$6.24,12.17
2024-03-31,83.97,$6.13,13.7
2023-12-31,82.86,$6.46,12.83
2023-09-30,65.59,$6.95,9.44
2023-06-30,63.64,$7.08,8.99
2023-03-31,68.35,$7.03,9.72
2022-12-31,72.79,$6.59,11.04
2022-09-30,74.99,$6.23,12.04
2022-06-30,72.69,$6.22,11.69
2022-03-31,76.37,$6.04,12.64
2021-12-31,74.57,$6.71,11.11
2021-09-30,69.1,$6.40,10.8
2021-06-30,75.15,$6.00,12.52
2021-03-31,71.78,$2.65,27.09
2020-12-31,65.71,$1.30,50.55
2020-09-30,43.46,$1.54,28.22
2020-06-30,42.68,$1.70,25.11
2020-03-31,52.11,$4.83,10.79
2019-12-31,76.53,$5.37,14.25
2019-09-30,66.06,$5.27,12.53
2019-06-30,64.26,$5.05,12.73
2019-03-31,59.29,$4.97,11.93
2018-12-31,51.72,$4.87,10.62
2018-09-30,70.38,$3.60,19.55
2018-06-30,73.72,$3.51,21.0
2018-03-31,72.63,$3.50,20.75
2017-12-31,73.91,$2.98,24.8
2017-09-30,76.08,$3.90,19.51
2017-06-30,72.12,$3.87,18.63
2017-03-31,74.91,$3.80,19.71
2016-12-31,73.0,$4.18,17.46
2016-09-30,62.4,$4.23,14.75
2016-06-30,56.34,$4.11,13.71
2016-03-31,52.95,$4.13,12.82
2015-12-31,59.04,$4.11,14.37
2015-09-30,62.88,$3.94,15.96
2015-06-30,61.95,$3.70,16.74
2015-03-31,55.58,$3.41,16.3
2014-12-31,54.31,$3.08,17.63
2014-09-30,45.12,$2.75,16.41
2014-06-30,49.04,$2.47,19.86
2014-03-31,50.17,$2.47,20.31
2013-12-31,53.11,$2.44,21.77
2013-09-30,43.92,$2.27,19.35
2013-06-30,39.98,$2.35,17.01
2013-03-31,39.84,$2.16,18.45
2012-12-31,31.63,$2.03,15.58
2012-09-30,31.56,$2.00,15.78
2012-06-30,27.49,$2.14,12.85
2012-03-31,25.38,$1.94,13.08
2011-12-31,22.39,$1.63,13.74
2011-09-30,18.93,$1.32,14.34
2011-06-30,21.87,$0.72,30.38
2011-03-31,25.24,$0.42,60.09
2010-12-31,24.7,$4.09,6.04
2010-09-30,23.39,$4.17,5.61
2010-06-30,26.27,$4.20,6.26
2010-03-31,27.51,$4.28,6.43
2009-12-31,20.47,$0.75,27.29
