QIAGEN PE Ratio Historical Data,QIAGEN PE Ratio Historical Data,QIAGEN PE Ratio Historical Data,QIAGEN PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.69,,142.06
2024-06-30,41.09,$0.30,136.74
2024-03-31,42.99,$1.49,28.83
2023-12-31,44.77,$1.51,29.6
2023-09-30,41.75,$1.49,27.93
2023-06-30,46.42,$1.52,30.63
2023-03-31,47.35,$1.59,29.83
2022-12-31,51.41,$1.90,27.1
2022-09-30,42.56,$2.07,20.54
2022-06-30,48.66,$2.29,21.26
2022-03-31,50.52,$2.39,21.12
2021-12-31,57.3,$2.28,25.15
2021-09-30,53.28,$2.64,20.19
2021-06-30,49.88,$2.12,23.49
2021-03-31,50.2,$1.98,25.36
2020-12-31,54.48,$1.58,34.54
2020-09-30,53.88,$0.84,64.51
2020-06-30,44.13,$0.03,1423.68
2020-03-31,42.89,$-0.16,0.0
2019-12-31,34.85,$-0.21,0.0
2019-09-30,33.99,$-0.13,0.0
2019-06-30,41.8,$0.87,48.28
2019-03-31,41.94,$0.84,50.23
2018-12-31,35.52,$0.85,42.02
2018-09-30,39.05,$0.39,99.7
2018-06-30,37.28,$0.21,180.79
2018-03-31,33.31,$0.08,404.24
2017-12-31,31.89,$0.09,362.35
2017-03-31,29.87,$0.37,80.74
2016-12-31,30.0,$0.35,85.32
2016-09-30,29.38,$0.52,56.01
2016-06-30,23.35,$0.59,39.5
2016-03-31,23.92,$0.64,37.1
2015-12-31,29.6,$0.70,42.39
2017-09-30,32.47,$0.57,56.99
2015-09-30,27.64,$0.47,58.68
2015-06-30,26.54,$0.47,56.34
2015-03-31,26.98,$0.50,53.61
2014-12-31,25.12,$0.52,47.87
2014-09-30,24.38,$0.67,36.14
2014-06-30,26.18,$0.71,37.04
2014-03-31,22.58,$0.32,70.29
2013-12-31,25.49,$0.30,85.05
2013-09-30,22.91,$0.09,243.73
2013-06-30,21.32,$0.08,255.88
2013-03-31,22.57,$0.45,50.45
2017-06-30,34.57,$0.51,67.57
2012-12-31,19.43,$0.58,33.61
2012-09-30,19.82,$0.41,48.7
2012-06-30,17.88,$0.44,40.73
2012-03-31,16.67,$0.44,37.97
2011-12-31,14.78,$0.44,33.68
2011-09-30,14.81,$0.60,24.69
2011-06-30,20.36,$0.60,33.96
2011-03-31,21.47,$0.62,34.57
2010-12-31,20.93,$0.64,32.58
2010-09-30,18.99,$0.67,28.16
2010-06-30,20.58,$0.71,29.12
2010-03-31,24.61,$0.70,35.37
2009-12-31,23.91,$0.67,35.44
