"America Movil, S.A.B De C.V PE Ratio Historical Data","America Movil, S.A.B De C.V PE Ratio Historical Data","America Movil, S.A.B De C.V PE Ratio Historical Data","America Movil, S.A.B De C.V PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.98,,15.03
2024-03-31,18.66,$1.13,16.51
2023-12-31,18.52,$1.16,15.97
2023-09-30,17.32,$1.30,13.32
2023-03-31,21.05,$3.27,6.44
2022-09-30,16.47,$3.00,5.49
2022-03-31,20.66,$3.36,6.15
2021-12-31,20.62,$2.92,7.06
2021-09-30,17.07,$1.45,11.77
2021-06-30,14.31,$1.67,8.57
2021-03-31,12.96,$1.29,10.04
2020-12-31,13.87,$1.52,9.13
2023-06-30,21.64,$0.53,40.83
2020-09-30,11.75,$0.40,29.37
2020-06-30,11.94,$0.34,35.1
2020-03-31,10.94,$0.30,36.47
2019-12-31,14.86,$1.06,14.02
2019-09-30,13.65,$0.88,15.51
2019-06-30,13.2,$0.69,19.14
2019-03-31,12.95,$0.76,17.04
2018-12-31,12.92,$0.29,44.56
2018-06-30,14.8,$0.27,54.83
2018-03-31,16.96,$0.21,80.78
2017-09-30,15.63,$0.19,82.27
2016-06-30,10.44,$0.77,13.55
2015-09-30,13.96,$0.95,14.69
2015-06-30,17.48,$1.56,11.2
2014-06-30,16.76,$1.59,10.54
2013-06-30,17.28,$1.78,9.71
2013-03-31,16.66,$1.73,9.63
2012-12-31,18.39,$1.82,10.1
2012-09-30,20.08,$1.83,10.97
2012-06-30,20.46,$1.61,12.71
2012-03-31,19.5,$2.39,8.16
2011-12-31,17.75,$2.04,8.7
2011-09-30,17.25,$2.22,7.79
2011-06-30,20.92,$2.31,9.06
2018-09-30,14.41,$1.73,8.35
2011-03-31,22.56,$1.89,11.94
2010-12-31,22.27,$1.82,12.27
2010-09-30,20.61,$1.64,12.61
2010-06-30,18.26,$1.61,11.34
2010-03-31,19.36,$1.66,11.66
2009-12-31,18.06,$1.60,11.29
