Clean Harbors PE Ratio Historical Data,Clean Harbors PE Ratio Historical Data,Clean Harbors PE Ratio Historical Data,Clean Harbors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,256.93,,35.49
2024-06-30,226.15,$7.24,31.24
2024-03-31,201.31,$6.91,29.13
2023-12-31,174.51,$6.95,25.11
2023-09-30,167.36,$6.66,25.13
2023-06-30,164.43,$7.48,21.98
2023-03-31,142.56,$8.06,17.69
2022-12-31,114.12,$7.63,14.96
2022-09-30,109.98,$7.31,15.05
2022-06-30,87.67,$6.03,14.54
2021-12-31,99.77,$3.71,26.89
2021-09-30,103.87,$3.52,29.51
2021-06-30,93.14,$3.15,29.57
2021-03-31,84.06,$2.92,28.79
2020-12-31,76.1,$3.05,24.95
2022-03-31,111.64,$2.55,43.78
2020-09-30,56.03,$2.15,26.06
2020-06-30,59.98,$1.81,33.14
2020-03-31,51.34,$1.94,26.46
2019-12-31,85.75,$1.75,49.0
2019-09-30,77.2,$1.61,47.95
2019-06-30,71.1,$1.51,47.09
2019-03-31,71.53,$1.40,51.09
2018-12-31,49.35,$1.16,42.54
2018-09-30,71.58,$2.35,30.46
2018-06-30,55.55,$2.01,27.64
2018-03-31,48.81,$1.92,25.42
2017-12-31,54.2,$1.77,30.62
2017-09-30,56.7,$0.07,810.0
2017-06-30,55.83,$-0.32,0.0
2017-03-31,55.62,$-0.70,0.0
2016-12-31,55.65,$-0.69,0.0
2016-09-30,47.98,$-0.46,0.0
2016-06-30,52.11,$0.41,127.1
2016-03-31,49.34,$0.52,94.88
2015-12-31,41.65,$0.76,54.8
2015-09-30,43.97,$1.21,36.34
2015-06-30,53.74,$-1.03,0.0
2015-03-31,56.78,$-0.74,0.0
2014-12-31,48.05,$-0.47,0.0
2014-09-30,53.92,$-0.49,0.0
2014-06-30,64.25,$1.64,39.18
2014-03-31,54.79,$1.55,35.35
2013-12-31,59.96,$1.57,38.19
2013-09-30,58.66,$2.24,26.19
2013-06-30,50.53,$1.89,26.74
2013-03-31,58.09,$1.95,29.79
2012-12-31,55.01,$2.38,23.11
2012-09-30,48.85,$1.99,24.55
2012-06-30,56.42,$2.46,22.93
2012-03-31,67.33,$2.57,26.2
2011-12-31,63.73,$2.40,26.55
2011-09-30,51.3,$2.12,24.2
2011-06-30,51.63,$2.16,23.96
2011-03-31,49.33,$2.70,18.27
2010-12-31,42.04,$2.47,17.02
2010-09-30,33.88,$2.30,14.76
2010-06-30,33.21,$1.74,19.08
2010-03-31,27.78,$0.83,33.67
2009-12-31,29.81,$0.73,40.83
