OneMain Holdings PE Ratio Historical Data,OneMain Holdings PE Ratio Historical Data,OneMain Holdings PE Ratio Historical Data,OneMain Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.75,,9.8
2024-06-30,47.38,$4.87,9.73
2024-03-31,48.93,$5.13,9.54
2023-12-31,46.13,$5.32,8.67
2023-09-30,36.63,$5.42,6.76
2023-06-30,39.04,$5.33,7.32
2023-03-31,32.2,$6.16,5.23
2022-12-31,28.29,$7.04,4.02
2022-09-30,24.44,$7.58,3.22
2022-06-30,30.16,$8.23,3.66
2022-03-31,37.46,$9.15,4.09
2021-12-31,38.83,$9.85,3.94
2021-09-30,42.38,$10.50,4.04
2021-06-30,42.81,$10.19,4.2
2021-03-31,37.91,$8.25,4.59
2020-12-31,31.41,$5.43,5.78
2020-09-30,20.13,$4.67,4.31
2020-06-30,14.65,$4.23,3.46
2020-03-31,11.26,$4.68,2.41
2019-12-31,23.21,$5.68,4.09
2019-06-30,17.43,$4.86,3.59
2019-03-31,16.24,$3.49,4.65
2018-12-31,12.33,$3.29,3.75
2018-09-30,17.06,$2.34,7.29
2018-06-30,16.9,$3.07,5.51
2018-03-31,15.2,$3.53,4.31
2017-12-31,13.2,$2.92,4.52
2019-09-30,20.08,$2.88,6.97
2017-09-30,14.31,$1.26,11.36
2017-06-30,12.48,$0.94,13.28
2017-03-31,12.62,$0.83,15.2
2016-12-31,11.24,$1.71,6.57
2016-09-30,15.71,$-0.12,0.0
