ZTO Express (Cayman) PE Ratio Historical Data,ZTO Express (Cayman) PE Ratio Historical Data,ZTO Express (Cayman) PE Ratio Historical Data,ZTO Express (Cayman) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.77,,17.32
2024-06-30,20.42,$1.43,14.28
2024-03-31,20.0,$1.42,14.09
2023-12-31,20.33,$1.48,13.74
2023-09-30,23.09,$1.49,15.5
2023-06-30,23.96,$1.43,16.75
2023-03-31,27.02,$1.34,20.17
2022-12-31,25.34,$1.22,20.77
2022-09-30,22.66,$1.18,19.2
2022-06-30,25.88,$1.07,24.19
2022-03-31,23.34,$0.98,23.82
2021-12-31,26.35,$0.90,29.28
2021-09-30,28.63,$0.80,35.79
2021-06-30,28.34,$0.81,34.99
2021-03-31,26.98,$0.83,32.51
2020-12-31,26.99,$0.80,33.74
2020-09-30,27.69,$0.99,27.97
2020-06-30,33.98,$0.99,34.32
2020-03-31,24.25,$0.98,24.74
2019-12-31,21.38,$1.04,20.56
2019-09-30,19.53,$0.85,22.98
2019-06-30,17.51,$0.82,21.35
2019-03-31,16.74,$0.88,19.02
2018-12-31,14.31,$0.87,16.44
2018-09-30,14.98,$0.89,16.83
2018-06-30,18.07,$0.84,21.52
2018-03-31,13.55,$0.68,19.92
2017-12-31,14.14,$0.66,21.42
