Power Integrations PE Ratio Historical Data,Power Integrations PE Ratio Historical Data,Power Integrations PE Ratio Historical Data,Power Integrations PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.56,,86.08
2024-06-30,69.98,$0.75,93.31
2024-03-31,71.15,$0.92,77.34
2023-12-31,81.42,$0.97,83.94
2023-09-30,75.47,$1.12,67.39
2023-06-30,93.42,$1.58,59.13
2023-03-31,83.34,$2.28,36.55
2022-12-31,70.46,$2.93,24.05
2022-09-30,63.04,$3.19,19.76
2022-06-30,73.34,$3.08,23.81
2022-03-31,90.42,$2.80,32.29
2021-12-31,90.45,$2.68,33.75
2021-09-30,96.25,$2.47,38.97
2021-06-30,79.69,$2.02,39.45
2021-03-31,79.0,$1.56,50.64
2020-12-31,79.25,$1.18,67.45
2020-09-30,53.55,$3.37,15.91
2020-06-30,56.98,$3.41,16.71
2020-03-31,42.53,$3.38,12.6
2019-12-31,47.52,$3.24,14.69
2019-09-30,43.35,$0.98,44.24
2019-06-30,38.37,$0.99,38.75
2019-03-31,33.38,$1.06,31.49
2018-12-31,29.04,$1.17,24.92
2018-09-30,30.09,$0.50,60.8
2018-06-30,34.71,$0.47,73.85
2018-03-31,32.41,$0.45,72.82
2017-12-31,34.79,$0.45,77.31
2017-09-30,34.56,$0.97,35.81
2017-06-30,34.35,$0.94,36.74
2017-03-31,30.92,$0.90,34.55
2016-12-31,31.84,$0.81,39.31
2016-09-30,29.52,$0.80,36.9
2016-06-30,23.4,$0.76,30.99
2016-03-31,23.15,$0.71,32.6
2015-12-31,22.6,$0.67,33.99
2015-09-30,19.55,$0.69,28.54
2015-06-30,20.88,$0.75,27.84
2015-03-31,24.02,$0.88,27.45
2014-12-31,23.81,$0.97,24.54
2014-09-30,24.75,$0.99,25.0
2014-06-30,26.36,$1.00,26.36
2014-03-31,30.07,$0.96,31.49
2013-12-31,25.48,$0.94,27.1
2013-09-30,24.68,$0.85,29.21
2013-06-30,18.46,$-0.20,0.0
2013-03-31,19.72,$-0.55,0.0
2012-12-31,15.24,$-0.61,0.0
2012-09-30,13.78,$-0.66,0.0
2012-06-30,16.86,$0.24,71.73
2012-03-31,16.75,$0.54,31.32
2011-12-31,14.95,$0.58,26.0
2011-09-30,13.78,$0.62,22.4
2011-06-30,17.27,$0.71,24.5
2011-03-31,17.2,$0.80,21.64
2010-12-31,18.0,$0.84,21.43
2010-09-30,14.23,$0.85,16.74
2010-06-30,14.39,$0.80,18.1
2010-03-31,18.38,$0.61,30.14
2009-12-31,16.2,$0.41,40.01
