Coca Cola Femsa S.A.B De C.V PE Ratio Historical Data,Coca Cola Femsa S.A.B De C.V PE Ratio Historical Data,Coca Cola Femsa S.A.B De C.V PE Ratio Historical Data,Coca Cola Femsa S.A.B De C.V PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,86.84,,15.29
2024-03-31,94.52,$5.68,16.64
2023-12-31,92.03,$6.01,15.31
2023-09-30,74.66,$5.58,13.38
2023-06-30,79.3,$5.18,15.31
2022-12-31,63.38,$4.53,13.99
2022-09-30,53.34,$4.14,12.88
2022-06-30,50.5,$3.92,12.88
2022-03-31,49.0,$3.61,13.57
2021-12-31,48.85,$3.68,13.28
2021-09-30,49.06,$3.08,15.93
2021-06-30,46.15,$3.27,14.11
2021-03-31,39.24,$3.01,13.04
2020-12-31,39.15,$2.70,14.5
2023-03-31,75.13,$2.57,29.23
2020-09-30,33.5,$2.07,16.18
2020-06-30,36.08,$2.53,14.26
2020-03-31,32.28,$2.97,10.87
2019-12-31,48.64,$3.00,16.21
2019-09-30,47.84,$3.83,12.49
2019-06-30,49.04,$3.66,13.4
2019-03-31,52.08,$3.48,14.97
2018-12-31,48.01,$3.45,13.92
2018-09-30,47.64,$-3.97,0.0
2018-06-30,43.89,$-4.79,0.0
2018-03-31,50.98,$-4.90,0.0
2017-12-31,53.43,$-4.11,0.0
2017-09-30,58.43,$2.83,20.65
2017-06-30,64.14,$3.41,18.81
2017-03-31,53.67,$3.37,15.93
2016-12-31,47.56,$2.61,18.22
2016-09-30,55.52,$2.63,21.11
2016-06-30,61.41,$2.63,23.35
2016-03-31,60.82,$2.93,20.76
2015-12-31,51.86,$2.98,17.4
2015-09-30,50.2,$3.09,16.25
2015-06-30,57.49,$3.70,15.54
2015-03-31,57.07,$3.86,14.78
2014-12-31,61.83,$4.02,15.38
2014-09-30,71.26,$4.16,17.13
2014-06-30,80.38,$4.63,17.36
2014-03-31,73.89,$4.98,14.84
2013-12-31,85.27,$5.12,16.65
2012-12-31,102.69,$5.01,20.5
2012-09-30,88.88,$4.64,19.16
2012-06-30,90.18,$4.22,21.37
2012-03-31,71.7,$4.45,16.11
2011-12-31,64.45,$4.48,14.39
2011-09-30,60.07,$4.55,13.2
2011-06-30,62.97,$4.54,13.87
2011-03-31,50.83,$4.37,11.63
2010-12-31,54.42,$4.32,12.6
2010-09-30,51.64,$4.13,12.5
2010-06-30,41.32,$4.09,10.1
2010-03-31,43.15,$3.93,10.98
2009-12-31,42.68,$4.94,8.64
2009-09-30,31.24,$4.88,6.4
2009-06-30,26.05,$5.08,5.13
2009-03-31,21.79,$5.17,4.21
