MUELLER WATER PRODUCTS PE Ratio Historical Data,MUELLER WATER PRODUCTS PE Ratio Historical Data,MUELLER WATER PRODUCTS PE Ratio Historical Data,MUELLER WATER PRODUCTS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.54,,28.9
2024-06-30,17.86,$0.78,22.9
2024-03-31,15.98,$0.64,24.98
2023-12-31,14.24,$0.50,28.48
2023-09-30,12.48,$0.55,22.68
2023-06-30,15.9,$0.49,32.45
2023-03-31,13.6,$0.50,27.19
2022-12-31,10.45,$0.51,20.49
2022-09-30,9.92,$0.49,20.24
2022-06-30,11.27,$0.56,20.13
2022-03-31,12.35,$0.48,25.74
2021-12-31,13.71,$0.46,29.8
2021-09-30,14.44,$0.45,32.08
2021-06-30,13.63,$0.50,27.26
2021-03-31,13.08,$0.48,27.25
2020-12-31,11.61,$0.50,23.21
2020-09-30,9.7,$0.45,21.54
2020-06-30,8.76,$0.53,16.53
2020-03-31,7.4,$0.67,11.04
2019-12-31,11.01,$0.59,18.67
2019-09-30,10.29,$0.40,25.71
2019-06-30,8.94,$0.31,28.84
2019-03-31,9.09,$0.20,45.45
2018-12-31,8.2,$0.19,43.15
2018-09-30,10.33,$0.66,15.64
2018-06-30,10.47,$0.62,16.89
2018-03-31,9.67,$0.67,14.43
2017-12-31,11.09,$1.06,10.47
2017-09-30,11.3,$0.76,14.86
2017-06-30,10.27,$0.80,12.84
2017-03-31,10.36,$0.74,14.0
2016-12-31,11.63,$0.39,29.82
2016-09-30,10.93,$0.39,28.04
2016-06-30,9.92,$0.37,26.82
2016-03-31,8.56,$0.38,22.53
2015-12-31,7.43,$0.36,20.65
2015-09-30,6.61,$0.19,34.77
2015-06-30,7.83,$0.21,37.29
2015-03-31,8.46,$0.22,38.45
2014-12-31,8.78,$0.20,43.88
2014-09-30,7.08,$0.34,20.84
2014-06-30,7.38,$0.26,28.37
2014-03-31,8.09,$0.24,33.73
2013-12-31,7.97,$0.22,36.22
2013-09-30,6.78,$0.25,27.12
2013-06-30,5.85,$0.20,29.25
2013-03-31,5.01,$0.17,29.46
2012-12-31,4.72,$-0.57,0.0
2012-09-30,4.11,$-0.69,0.0
2012-06-30,2.89,$-0.77,0.0
2012-03-31,2.77,$-0.85,0.0
2011-12-31,2.02,$-0.24,0.0
2011-09-30,2.04,$-0.24,0.0
2011-06-30,3.24,$-0.24,0.0
2011-03-31,3.63,$-0.24,0.0
2010-12-31,3.36,$-0.30,0.0
2010-09-30,2.42,$-0.29,0.0
2010-06-30,2.96,$-0.33,0.0
2010-03-31,3.8,$-0.47,0.0
2009-12-31,4.12,$-5.22,0.0
