CorVel PE Ratio Historical Data,CorVel PE Ratio Historical Data,CorVel PE Ratio Historical Data,CorVel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,317.9,,70.49
2024-06-30,254.27,$4.51,56.38
2024-03-31,262.96,$4.40,59.76
2023-12-31,247.21,$4.32,57.22
2023-09-30,196.65,$4.29,45.84
2023-06-30,193.5,$3.97,48.74
2023-03-31,190.28,$3.77,50.47
2022-12-31,145.33,$3.82,38.04
2022-09-30,138.43,$3.62,38.24
2022-06-30,147.27,$3.67,40.13
2022-03-31,168.44,$3.65,46.15
2021-12-31,208.0,$3.37,61.72
2021-09-30,186.22,$3.24,57.48
2021-06-30,134.3,$3.01,44.62
2021-03-31,102.59,$2.55,40.23
2020-12-31,106.0,$2.38,44.54
2020-09-30,85.43,$2.25,37.97
2020-06-30,70.89,$2.29,30.96
2020-03-31,54.51,$2.54,21.46
2019-12-31,87.36,$2.53,34.53
2019-09-30,75.7,$2.57,29.46
2019-06-30,87.01,$2.55,34.12
2019-03-31,65.24,$2.46,26.52
2018-12-31,61.72,$2.30,26.83
2018-09-30,60.25,$2.26,26.66
2018-06-30,54.0,$2.03,26.6
2018-03-31,50.55,$1.87,27.03
2017-12-31,52.9,$1.82,29.07
2017-09-30,54.4,$1.68,32.38
2017-06-30,47.45,$1.59,29.84
2017-03-31,43.5,$1.51,28.81
2016-12-31,36.6,$1.43,25.59
2016-09-30,38.4,$1.41,27.23
2016-06-30,43.18,$1.47,29.37
2016-03-31,39.42,$1.43,27.57
2015-12-31,43.92,$1.36,32.29
2015-09-30,32.3,$1.35,23.93
2015-06-30,32.02,$1.31,24.44
2015-03-31,34.41,$1.36,25.3
2014-12-31,37.22,$1.48,25.15
2014-09-30,34.05,$1.56,21.83
2014-06-30,45.18,$1.60,28.24
2014-03-31,49.76,$1.61,30.91
2013-12-31,46.7,$1.57,29.75
2013-09-30,36.97,$1.43,25.94
2013-06-30,29.27,$1.31,22.43
2013-03-31,24.75,$1.20,20.71
2012-12-31,22.42,$1.07,21.05
2012-09-30,22.38,$1.04,21.62
2012-06-30,24.5,$1.09,22.58
2012-03-31,19.95,$1.15,17.42
2011-12-31,25.86,$1.04,24.98
2011-09-30,21.25,$1.08,19.68
2011-06-30,23.45,$1.05,22.33
2011-03-31,26.59,$1.02,26.07
2010-12-31,24.18,$1.18,20.49
2010-09-30,21.23,$1.17,18.14
2010-06-30,16.9,$1.11,15.22
2010-03-31,17.88,$1.04,17.27
2009-12-31,16.77,$0.93,18.03
