Expedia PE Ratio Historical Data,Expedia PE Ratio Historical Data,Expedia PE Ratio Historical Data,Expedia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,139.09,,24.84
2024-06-30,125.99,$5.60,22.5
2024-03-31,137.75,$5.34,25.8
2023-12-31,151.79,$5.38,28.21
2023-09-30,103.07,$5.57,18.5
2023-06-30,109.39,$5.68,19.26
2023-03-31,97.03,$1.97,49.25
2022-12-31,87.6,$4.62,18.96
2022-09-30,93.69,$5.77,16.24
2022-06-30,94.83,$0.77,123.16
2021-12-31,180.72,$-2.23,0.0
2021-09-30,163.9,$-6.82,0.0
2021-06-30,163.71,$-10.64,0.0
2021-03-31,172.12,$-13.96,0.0
2020-12-31,132.4,$-19.03,0.0
2020-09-30,91.69,$-15.62,0.0
2020-06-30,82.2,$-11.35,0.0
2020-03-31,56.27,$-4.80,0.0
2019-12-31,107.72,$3.75,28.72
2019-09-30,133.41,$3.34,39.94
2019-06-30,131.69,$4.06,32.44
2019-03-31,117.48,$2.86,41.08
2018-12-31,110.93,$2.64,42.02
2018-09-30,128.15,$2.88,44.5
2018-06-30,117.75,$1.68,70.09
2018-03-31,107.89,$2.03,53.15
2017-12-31,116.72,$2.37,49.25
2017-09-30,139.93,$2.53,55.31
2017-06-30,144.51,$2.11,68.49
2017-03-31,122.17,$1.96,62.33
2016-12-31,109.44,$1.72,63.63
2016-09-30,112.52,$1.12,100.47
2016-06-30,102.24,$1.43,71.5
2016-03-31,103.49,$4.60,22.5
2015-12-31,119.03,$5.75,20.7
2015-09-30,112.47,$6.34,17.74
2015-06-30,104.28,$6.16,16.93
2015-03-31,89.62,$3.45,25.98
2014-12-31,81.11,$2.33,34.81
2014-09-30,83.08,$1.72,48.3
2014-06-30,74.53,$0.48,155.27
2022-03-31,195.67,$1.03,189.97
2014-03-31,68.47,$2.32,29.51
2013-12-31,65.65,$1.66,39.55
2013-09-30,48.71,$1.01,48.23
2013-06-30,56.37,$1.00,56.37
2013-03-31,56.12,$1.25,44.9
2012-12-31,57.34,$2.00,28.67
2012-09-30,53.38,$2.46,21.7
2012-06-30,44.26,$2.75,16.09
2012-03-31,30.73,$2.99,10.28
2011-12-31,26.59,$3.39,7.84
2011-09-30,30.52,$3.38,9.03
2011-06-30,34.27,$3.12,10.98
2011-03-31,26.72,$2.92,9.15
2010-12-31,29.49,$2.94,10.03
2010-09-30,33.09,$3.14,10.54
2010-06-30,21.95,$2.70,8.13
2010-03-31,29.06,$2.18,13.33
2009-12-31,29.88,$2.06,14.5
