United Dominion Realty Trust PE Ratio Historical Data,United Dominion Realty Trust PE Ratio Historical Data,United Dominion Realty Trust PE Ratio Historical Data,United Dominion Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,44.51,,108.56
2024-06-30,40.72,$0.41,99.33
2024-03-31,36.61,$1.38,26.53
2023-12-31,37.07,$1.34,27.66
2023-09-30,34.13,$1.37,24.91
2023-06-30,40.7,$1.34,30.37
2023-03-31,38.5,$0.30,128.35
2022-12-31,35.97,$0.25,143.87
2022-09-30,38.35,$0.49,78.27
2022-06-30,41.98,$0.48,87.45
2022-03-31,51.97,$0.51,101.9
2021-12-31,54.01,$0.48,112.51
2021-09-30,47.38,$0.20,236.88
2021-06-30,43.5,$0.05,869.9
2021-03-31,38.63,$0.20,193.15
2020-12-31,33.52,$0.20,167.62
2020-09-30,28.16,$0.44,64.01
2020-06-30,31.96,$0.62,51.55
2020-03-31,30.96,$0.55,56.29
2019-12-31,39.27,$0.62,63.34
2019-09-30,40.48,$0.59,68.61
2019-06-30,37.21,$0.57,65.28
2019-03-31,37.4,$0.52,71.92
2018-12-31,32.33,$0.74,43.69
2018-09-30,32.73,$0.69,47.43
2018-06-30,30.13,$0.68,44.3
2018-03-31,28.33,$0.64,44.26
2017-12-31,30.38,$0.43,70.65
2017-09-30,29.75,$1.06,28.07
2017-06-30,30.24,$1.10,27.49
2017-03-31,27.9,$1.13,24.69
2016-12-31,27.84,$1.08,25.78
2016-09-30,27.23,$0.81,33.62
2016-06-30,27.71,$0.76,36.46
2016-03-31,28.69,$1.03,27.86
2015-12-31,27.77,$1.27,21.86
2015-09-30,25.28,$0.91,27.79
2015-06-30,23.29,$1.02,22.84
2015-03-31,24.54,$0.81,30.3
2014-12-31,22.04,$0.60,36.74
2014-09-30,19.31,$0.49,39.41
2014-06-30,20.1,$0.34,59.13
2014-03-31,17.96,$0.24,74.82
2013-12-31,16.07,$0.17,94.53
2013-09-30,16.15,$-0.02,0.0
2013-06-30,17.2,$-0.07,0.0
2013-03-31,16.17,$0.53,30.51
2012-12-31,15.75,$0.89,17.7
2012-09-30,16.14,$1.14,14.16
2012-06-30,16.67,$1.11,15.01
2012-03-31,17.09,$0.55,31.06
2011-12-31,15.91,$0.02,795.59
2011-09-30,13.91,$-0.35,0.0
2011-06-30,15.31,$-0.44,0.0
2011-03-31,15.07,$-0.68,0.0
2010-12-31,14.43,$-0.68,0.0
2010-09-30,12.84,$-0.67,0.0
2010-06-30,11.53,$-0.78,0.0
2010-03-31,10.53,$-0.70,0.0
2009-12-31,9.7,$-0.63,0.0
