AbbVie PE Ratio Historical Data,AbbVie PE Ratio Historical Data,AbbVie PE Ratio Historical Data,AbbVie PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,196.31,,65.44
2024-06-30,169.95,$3.00,56.65
2024-03-31,178.73,$3.37,53.04
2023-12-31,150.66,$2.73,55.19
2023-09-30,143.49,$3.65,39.31
2023-06-30,128.27,$4.86,26.39
2023-03-31,150.36,$4.23,35.55
2022-12-31,151.01,$6.61,22.85
2022-09-30,124.18,$7.49,16.58
2022-06-30,140.4,$7.06,19.89
2022-03-31,147.29,$6.97,21.13
2021-12-31,121.74,$6.45,18.87
2021-09-30,95.84,$4.20,22.82
2021-06-30,98.98,$3.71,26.68
2021-03-31,93.95,$2.83,33.2
2020-12-31,91.95,$2.86,32.15
2020-09-30,74.15,$4.73,15.68
2020-06-30,82.13,$4.70,17.47
2020-03-31,62.83,$5.65,11.12
2019-12-31,72.05,$2.40,30.02
2019-09-30,60.74,$2.33,26.07
2019-06-30,57.46,$2.33,24.66
2018-12-31,70.99,$3.58,19.83
2018-09-30,72.07,$4.84,14.89
2018-06-30,69.9,$4.68,14.94
2018-03-31,70.67,$4.43,15.95
2017-12-31,71.69,$3.88,18.48
2019-03-31,62.84,$4.91,12.8
2017-09-30,65.42,$4.11,15.92
2017-06-30,52.91,$4.07,13.0
2017-03-31,47.08,$3.86,12.2
2016-12-31,44.77,$3.63,12.33
2016-09-30,44.68,$3.70,12.08
2016-06-30,43.47,$3.47,12.53
2016-03-31,39.73,$3.32,11.97
2015-12-31,40.75,$3.12,13.06
2015-09-30,37.07,$1.69,21.94
2015-06-30,45.45,$1.26,36.07
2015-03-31,39.27,$1.11,35.38
2014-12-31,43.56,$1.09,39.97
2014-09-30,38.16,$2.30,16.59
2014-06-30,37.0,$2.59,14.29
2014-03-31,33.4,$2.57,13.0
2013-12-31,34.04,$2.56,13.3
