Darden Restaurants PE Ratio Historical Data,Darden Restaurants PE Ratio Historical Data,Darden Restaurants PE Ratio Historical Data,Darden Restaurants PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,158.15,,16.63
2024-05-31,148.88,$9.51,15.66
2024-02-29,167.61,$9.28,18.06
2023-11-30,152.39,$8.20,18.58
2023-05-31,151.71,$8.00,18.96
2023-02-28,135.75,$7.66,17.72
2022-11-30,138.42,$6.91,20.03
2022-08-31,115.42,$7.32,15.77
2022-05-31,115.43,$7.24,15.94
2023-08-31,150.02,$6.75,22.23
2022-02-28,132.94,$7.94,16.74
2021-11-30,125.34,$6.99,17.93
2021-08-31,135.92,$6.24,21.78
2021-05-31,128.24,$4.77,26.89
2021-02-28,122.22,$-1.87,0.0
2020-11-30,95.82,$-0.96,0.0
2020-08-31,76.68,$-1.49,0.0
2020-05-31,68.0,$-0.40,0.0
2020-02-29,86.27,$5.13,16.82
2019-11-30,103.99,$5.03,20.67
2019-08-31,105.4,$5.75,18.33
2019-05-31,100.62,$5.70,17.65
2019-02-28,96.36,$5.42,17.78
2018-11-30,94.33,$5.36,17.6
2018-08-31,98.35,$5.11,19.25
2018-05-31,73.58,$4.72,15.59
2018-02-28,77.05,$4.31,17.88
2017-11-30,70.02,$3.90,17.95
2017-08-31,67.64,$3.87,17.48
2017-05-31,72.76,$3.81,19.1
2017-02-28,60.7,$3.92,15.48
2016-11-30,59.11,$3.42,17.28
2016-08-31,49.26,$3.11,15.84
2016-05-31,53.72,$2.91,18.46
2016-02-29,50.21,$2.64,19.02
2015-11-30,43.8,$2.87,15.26
2015-08-31,46.96,$2.28,20.6
2015-05-31,44.91,$1.47,30.55
2015-02-28,43.5,$1.30,33.46
2014-11-30,38.38,$1.07,35.87
2014-08-31,31.52,$1.48,21.3
2014-05-31,32.99,$2.15,15.34
2014-02-28,33.24,$2.51,13.24
2013-11-30,34.35,$2.71,12.68
2013-08-31,29.42,$2.82,10.43
2013-05-31,32.63,$3.14,10.39
2013-02-28,28.86,$3.28,8.8
2012-11-30,32.62,$3.51,9.29
2012-08-31,31.76,$3.65,8.7
2012-05-31,31.31,$3.58,8.75
2012-02-29,30.6,$3.42,8.95
2011-11-30,28.36,$3.25,8.73
2011-08-31,28.31,$3.38,8.38
2011-05-31,29.57,$3.40,8.7
2011-02-28,27.34,$3.21,8.52
2010-11-30,28.2,$3.07,9.18
2010-08-31,23.59,$2.97,7.94
2010-05-31,24.33,$2.84,8.57
2010-02-28,22.87,$2.91,7.86
2009-11-30,17.6,$2.75,6.4
