Silver Standard Resources PE Ratio Historical Data,Silver Standard Resources PE Ratio Historical Data,Silver Standard Resources PE Ratio Historical Data,Silver Standard Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.82,,0.0
2024-06-30,4.51,$-2.37,0.0
2024-03-31,4.46,$-2.07,0.0
2023-12-31,10.76,$-0.51,0.0
2023-09-30,13.21,$0.99,13.34
2023-06-30,14.03,$0.80,17.54
2023-03-31,14.9,$0.72,20.69
2022-12-31,15.36,$0.89,17.26
2022-09-30,14.35,$1.03,13.93
2022-06-30,16.22,$1.42,11.42
2022-03-31,21.04,$1.39,15.14
2021-12-31,17.07,$1.32,12.93
2021-09-30,13.99,$1.16,12.06
2021-06-30,14.95,$1.08,13.84
2021-03-31,13.65,$0.79,17.28
2020-12-31,19.16,$0.74,25.89
2020-09-30,17.79,$0.49,36.3
2020-06-30,20.32,$0.47,43.24
2020-03-31,10.84,$0.61,17.77
2019-12-31,18.35,$0.47,39.04
2019-09-30,13.83,$0.28,49.4
2019-06-30,13.02,$0.16,81.39
2019-03-31,12.06,$0.11,109.64
2018-12-31,11.52,$0.05,230.36
2018-09-30,8.3,$0.22,37.72
2018-06-30,9.4,$0.18,52.24
2018-03-31,9.15,$0.45,20.32
2017-12-31,8.37,$0.59,14.19
2017-09-30,10.11,$0.55,18.38
2017-06-30,9.25,$0.86,10.76
2017-03-31,10.11,$0.68,14.86
2016-12-31,8.5,$0.58,14.65
2016-09-30,11.49,$-0.35,0.0
2016-06-30,12.38,$-1.41,0.0
2016-03-31,5.29,$-1.63,0.0
2015-12-31,4.93,$-1.55,0.0
2015-09-30,6.21,$-1.79,0.0
2015-06-30,5.98,$-1.23,0.0
2015-03-31,4.32,$-1.23,0.0
2014-12-31,4.77,$-1.55,0.0
2014-09-30,5.81,$-0.11,0.0
2014-06-30,8.25,$-0.11,0.0
2014-03-31,9.46,$-2.94,0.0
2013-12-31,6.63,$-2.79,0.0
2013-09-30,5.86,$-2.86,0.0
2013-06-30,6.04,$-2.71,0.0
2013-03-31,10.05,$0.64,15.7
2012-12-31,14.19,$0.69,20.56
2012-09-30,15.27,$0.42,36.36
2012-06-30,10.71,$0.72,14.87
2012-03-31,14.33,$0.86,16.66
2011-12-31,13.17,$0.99,13.3
2011-09-30,17.48,$5.68,3.08
2011-06-30,25.43,$5.31,4.79
2011-03-31,29.9,$4.55,6.57
2010-12-31,26.88,$4.33,6.21
2010-09-30,19.03,$-0.52,0.0
2010-06-30,17.01,$-0.42,0.0
2010-03-31,16.95,$-0.25,0.0
2009-12-31,20.84,$-0.19,0.0
