Byline Bancorp PE Ratio Historical Data,Byline Bancorp PE Ratio Historical Data,Byline Bancorp PE Ratio Historical Data,Byline Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.86,,9.91
2024-06-30,23.66,$2.71,8.73
2024-03-31,21.56,$2.73,7.9
2023-12-31,23.29,$2.67,8.72
2023-09-30,19.39,$2.64,7.35
2023-06-30,17.73,$2.60,6.82
2023-03-31,21.08,$2.44,8.64
2022-12-31,22.32,$2.38,9.38
2022-09-30,19.6,$2.18,8.99
2022-06-30,22.95,$2.23,10.29
2022-03-31,25.63,$2.42,10.59
2021-12-31,26.18,$2.40,10.91
2021-09-30,23.43,$2.26,10.37
2021-06-30,21.51,$1.94,11.09
2021-03-31,20.05,$1.45,13.83
2020-12-31,14.6,$0.96,15.21
2020-09-30,10.64,$1.06,10.04
2020-06-30,12.32,$1.11,11.1
2020-03-31,9.73,$1.21,8.04
2019-12-31,18.3,$1.48,12.37
2019-09-30,16.7,$1.53,10.91
2019-06-30,17.86,$1.53,11.67
2019-03-31,17.26,$1.27,13.59
2018-12-31,15.56,$1.15,13.53
2018-09-30,21.2,$0.66,32.12
2018-06-30,20.86,$0.59,35.36
2018-03-31,21.41,$0.33,64.89
