MSC Industrial Direct PE Ratio Historical Data,MSC Industrial Direct PE Ratio Historical Data,MSC Industrial Direct PE Ratio Historical Data,MSC Industrial Direct PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,84.06,,16.32
2024-05-31,84.97,$5.15,16.5
2024-02-29,98.98,$5.57,17.77
2023-11-30,94.7,$5.88,16.11
2023-08-31,98.38,$6.11,16.1
2023-05-31,85.97,$6.41,13.41
2023-02-28,80.07,$6.50,12.32
2022-11-30,80.5,$6.34,12.7
2022-08-31,73.6,$6.07,12.13
2022-05-31,78.12,$5.39,14.49
2022-02-28,70.65,$5.29,13.35
2021-11-30,71.12,$4.36,16.31
2021-08-31,75.43,$3.87,19.49
2021-05-31,83.86,$3.63,23.1
2021-02-28,75.88,$3.35,22.65
2020-11-30,72.74,$4.03,18.05
2020-08-31,54.69,$4.52,12.1
2020-05-31,56.89,$4.78,11.9
2020-02-29,50.06,$4.82,10.39
2019-11-30,55.01,$5.06,10.87
2019-08-31,50.17,$5.21,9.63
2019-05-31,51.87,$5.30,9.79
2019-02-28,61.51,$5.25,11.72
2018-11-30,64.03,$6.07,10.55
2018-08-31,61.34,$5.79,10.59
2018-05-31,65.45,$5.57,11.75
2018-02-28,61.95,$5.27,11.76
2017-11-30,63.4,$4.14,15.31
2017-08-31,48.19,$4.04,11.93
2017-05-31,58.37,$3.99,14.63
2017-02-28,69.6,$3.95,17.62
2016-11-30,61.51,$3.82,16.1
2016-08-31,50.02,$3.76,13.3
2016-05-31,51.02,$3.70,13.79
2016-02-29,47.1,$3.68,12.8
2015-11-30,41.46,$3.71,11.18
2015-08-31,45.18,$3.73,12.11
2015-05-31,46.04,$3.78,12.18
2015-02-28,48.17,$3.78,12.74
2014-11-30,50.99,$3.74,13.63
2014-08-31,56.78,$3.76,15.1
2014-05-31,57.73,$3.64,15.86
2014-02-28,53.99,$3.59,15.04
2013-11-30,47.88,$3.68,13.01
2013-08-31,47.15,$3.75,12.57
2013-05-31,51.09,$3.95,12.93
2013-02-28,52.52,$4.07,12.9
2012-11-30,44.54,$4.14,10.76
2012-08-31,42.3,$4.07,10.39
2012-05-31,43.6,$3.95,11.04
2012-02-29,48.14,$3.63,13.26
2011-08-31,37.12,$3.43,10.82
2011-05-31,41.7,$3.20,13.03
2011-02-28,37.8,$3.18,11.89
2010-11-30,35.84,$3.09,11.6
2010-08-31,26.1,$2.82,9.26
2011-11-30,42.0,$2.62,16.03
2010-05-31,30.17,$2.08,14.5
2010-02-28,26.48,$1.83,14.47
2009-11-30,26.55,$1.77,15.0
