Grupo Aval Acciones Y Valores S.A PE Ratio Historical Data,Grupo Aval Acciones Y Valores S.A PE Ratio Historical Data,Grupo Aval Acciones Y Valores S.A PE Ratio Historical Data,Grupo Aval Acciones Y Valores S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.04,,20.4
2024-06-30,2.14,$0.10,21.39
2023-12-31,2.33,$0.14,16.65
2023-09-30,2.27,$0.06,37.78
2023-06-30,2.13,$0.13,16.37
2023-03-31,2.09,$0.25,8.35
2022-12-31,2.26,$0.64,3.53
2022-09-30,2.2,$0.88,2.49
2022-06-30,3.17,$0.98,3.23
2022-03-31,3.81,$1.06,3.6
2021-12-31,4.25,$0.80,5.31
2021-09-30,4.74,$0.78,6.08
2021-06-30,4.62,$0.79,5.85
2021-03-31,4.96,$0.64,7.75
2020-12-31,5.44,$0.61,8.92
2020-09-30,3.59,$0.64,5.61
2020-06-30,3.34,$0.65,5.14
2020-03-31,3.28,$0.80,4.1
2019-12-31,6.48,$0.62,10.45
2019-09-30,5.48,$0.66,8.3
2019-06-30,5.81,$0.67,8.67
2019-03-31,5.68,$0.62,9.16
2018-12-31,4.3,$0.81,5.31
2018-09-30,5.66,$0.80,7.07
2015-03-31,5.57,$0.73,7.62
2014-12-31,6.37,$0.74,8.61
2014-09-30,8.19,$0.73,11.22
2016-12-31,5.37,$0.64,8.4
2016-09-30,5.88,$0.70,8.4
2016-06-30,5.32,$0.65,8.18
2016-03-31,5.02,$0.71,7.07
2015-12-31,4.2,$0.77,5.45
2017-12-31,6.01,$0.69,8.71
2018-06-30,5.98,$0.69,8.67
2018-03-31,5.92,$0.63,9.4
2017-09-30,6.27,$0.56,11.19
2017-06-30,5.72,$0.64,8.94
