Bank Of Hawaii PE Ratio Historical Data,Bank Of Hawaii PE Ratio Historical Data,Bank Of Hawaii PE Ratio Historical Data,Bank Of Hawaii PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,68.18,,19.1
2024-06-30,56.61,$3.57,15.86
2024-03-31,61.74,$3.88,15.91
2023-12-31,70.86,$4.15,17.07
2023-09-30,48.01,$4.93,9.74
2023-06-30,39.32,$5.04,7.8
2023-03-31,48.81,$5.30,9.21
2022-12-31,72.02,$5.48,13.14
2022-09-30,70.07,$5.53,12.67
2022-06-30,67.87,$5.77,11.76
2022-03-31,75.89,$6.07,12.5
2021-12-31,75.14,$6.25,12.02
2021-09-30,73.08,$5.76,12.69
2021-06-30,74.28,$5.19,14.31
2021-03-31,78.34,$4.49,17.45
2020-12-31,66.57,$3.86,17.25
2020-09-30,43.52,$4.25,10.24
2020-06-30,52.28,$4.59,11.39
2020-03-31,46.55,$5.01,9.29
2019-12-31,79.5,$5.57,14.27
2019-09-30,71.26,$5.42,13.15
2019-06-30,68.21,$5.49,12.43
2019-03-31,64.34,$5.39,11.94
2018-12-31,54.51,$5.24,10.4
2018-09-30,63.9,$4.95,12.91
2018-06-30,67.06,$4.67,14.36
2018-03-31,66.34,$4.42,15.01
2017-12-31,67.99,$4.34,15.67
2017-09-30,65.74,$4.35,15.11
2017-06-30,65.0,$4.29,15.15
2017-03-31,64.11,$4.27,15.01
2016-12-31,68.63,$4.23,16.23
2016-09-30,55.87,$4.20,13.3
2016-06-30,52.58,$3.97,13.24
2016-03-31,51.83,$3.89,13.32
2015-12-31,47.41,$3.70,12.81
2015-09-30,47.54,$3.65,13.02
2015-06-30,49.57,$3.81,13.01
2015-03-31,45.18,$3.80,11.89
2014-12-31,43.45,$3.70,11.74
2014-09-30,41.3,$3.64,11.35
2014-06-30,42.34,$3.54,11.96
2014-03-31,43.38,$3.45,12.57
2013-12-31,41.99,$3.39,12.39
2013-09-30,38.37,$3.41,11.25
2013-06-30,35.16,$3.48,10.1
2013-03-31,35.19,$3.53,9.97
2012-12-31,30.23,$3.67,8.24
2012-09-30,30.98,$3.62,8.56
2012-06-30,30.91,$3.62,8.54
2012-03-31,32.22,$3.46,9.31
2011-12-31,29.36,$3.39,8.66
2011-09-30,23.75,$3.38,7.03
2011-06-30,30.03,$3.37,8.91
2011-03-31,30.57,$3.59,8.52
2010-12-31,29.9,$3.80,7.87
2010-09-30,28.16,$3.80,7.41
2010-06-30,30.01,$3.65,8.22
2010-03-31,27.64,$3.34,8.28
2009-12-31,28.64,$3.00,9.55
