AAON PE Ratio Historical Data,AAON PE Ratio Historical Data,AAON PE Ratio Historical Data,AAON PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,111.11,,50.05
2024-06-30,87.16,$2.22,39.26
2024-03-31,87.92,$2.15,40.96
2023-12-31,73.65,$2.13,34.52
2023-09-30,56.63,$2.05,27.67
2023-06-30,62.86,$1.81,34.79
2023-03-31,64.03,$1.46,43.85
2022-12-31,49.81,$1.23,40.39
2022-09-30,35.52,$0.83,42.63
2022-06-30,36.1,$0.69,52.58
2022-03-31,36.62,$0.74,49.49
2021-12-31,52.19,$0.72,72.49
2021-09-30,42.83,$0.88,48.67
2021-06-30,41.02,$0.94,43.65
2021-03-31,45.75,$0.91,50.09
2020-12-31,43.54,$0.99,44.13
2020-09-30,39.26,$0.97,40.34
2020-06-30,35.38,$0.89,39.6
2020-03-31,31.38,$0.83,37.65
2019-12-31,32.08,$0.70,45.83
2019-09-30,29.73,$0.64,46.46
2019-06-30,32.48,$0.65,50.22
2019-03-31,29.78,$0.63,47.53
2018-12-31,22.61,$0.54,41.88
2018-09-30,24.28,$0.58,41.86
2018-06-30,21.36,$0.59,36.4
2018-03-31,24.93,$0.61,40.65
2017-12-31,23.46,$0.69,34.16
2017-09-30,21.96,$0.63,35.04
2017-06-30,23.47,$0.63,37.06
2017-03-31,22.44,$0.64,35.05
2016-12-31,20.98,$0.65,32.44
2016-09-30,18.22,$0.67,27.33
2016-06-30,17.39,$0.63,27.46
2016-03-31,17.63,$0.59,30.06
2015-12-31,14.62,$0.55,26.42
2015-09-30,12.15,$0.52,23.36
2015-06-30,14.12,$0.51,27.86
2015-03-31,15.31,$0.51,30.21
2014-12-31,13.97,$0.52,26.75
2014-09-30,10.57,$0.49,21.62
2014-06-30,13.88,$0.47,29.76
2014-03-31,11.5,$0.48,23.96
2013-12-31,13.18,$0.45,29.27
2013-09-30,10.92,$0.45,24.33
2013-06-30,9.07,$0.40,22.92
2013-03-31,7.54,$0.36,20.86
2012-12-31,5.7,$0.33,17.34
2012-09-30,5.32,$0.25,21.38
2012-06-30,5.09,$0.25,20.72
2012-03-31,5.42,$0.18,30.52
2011-12-31,5.5,$0.17,32.78
2011-09-30,4.21,$0.23,18.68
2011-06-30,5.83,$0.22,26.72
2011-03-31,5.82,$0.24,24.16
2010-12-31,4.99,$0.26,19.44
2010-09-30,4.13,$0.26,15.97
2010-06-30,4.1,$0.29,14.3
2010-03-31,3.94,$0.30,13.13
2009-12-31,3.4,$0.32,10.69
