Belden Inc PE Ratio Historical Data,Belden Inc PE Ratio Historical Data,Belden Inc PE Ratio Historical Data,Belden Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,122.23,,26.01
2024-06-30,93.75,$4.70,19.95
2024-03-31,92.52,$5.11,18.11
2023-12-31,77.13,$5.66,13.63
2023-09-30,96.33,$6.17,15.61
2023-06-30,95.38,$6.70,14.24
2023-03-31,86.48,$6.41,13.49
2022-12-31,71.62,$5.75,12.46
2022-09-30,59.75,$3.22,18.56
2022-06-30,52.99,$1.90,27.89
2022-03-31,55.06,$1.56,35.29
2021-12-31,65.26,$1.41,46.29
2021-09-30,57.8,$2.67,21.65
2021-06-30,50.12,$2.14,23.42
2021-03-31,43.94,$-0.35,0.0
2020-12-31,41.45,$-1.24,0.0
2020-09-30,30.74,$-4.63,0.0
2020-06-30,32.11,$-11.71,0.0
2020-03-31,35.54,$-9.35,0.0
2019-12-31,54.1,$-8.68,0.0
2019-09-30,52.42,$-4.57,0.0
2019-06-30,58.48,$3.93,14.88
2019-03-31,52.68,$3.58,14.71
2018-12-31,40.94,$3.01,13.6
2018-09-30,69.91,$2.65,26.38
2018-06-30,59.79,$0.67,89.24
2018-03-31,67.39,$0.82,82.18
2017-12-31,75.38,$1.37,55.03
2017-09-30,78.62,$1.45,54.22
2017-06-30,73.59,$2.31,31.86
2017-03-31,67.46,$2.65,25.46
2016-12-31,72.85,$2.64,27.59
2016-09-30,67.17,$3.22,20.86
2016-06-30,58.73,$2.88,20.39
2016-03-31,59.67,$2.40,24.86
2015-12-31,46.31,$1.55,29.88
2015-09-30,45.3,$0.74,61.22
2015-06-30,78.73,$1.17,67.29
2015-03-31,90.63,$0.67,135.27
2014-12-31,76.3,$1.69,45.15
2014-09-30,61.94,$1.84,33.66
2014-06-30,75.57,$1.72,43.94
2014-03-31,67.25,$2.38,28.26
2013-12-31,68.03,$2.31,29.45
2013-09-30,61.8,$5.50,11.24
2013-06-30,48.14,$3.98,12.1
2013-03-31,49.75,$4.24,11.73
2012-12-31,43.29,$4.27,10.14
2012-09-30,35.44,$1.13,31.36
2012-06-30,32.01,$2.65,12.08
2012-03-31,36.33,$2.45,14.83
2011-12-31,31.85,$2.38,13.38
2011-09-30,24.65,$2.99,8.24
2011-06-30,33.26,$2.77,12.01
2011-03-31,35.78,$2.46,14.54
2010-12-31,35.03,$2.26,15.5
2010-09-30,25.06,$1.51,16.6
2010-06-30,20.86,$0.92,22.68
2010-03-31,25.99,$0.40,64.97
2009-12-31,20.7,$-0.55,0.0
