Cloudflare PE Ratio Historical Data,Cloudflare PE Ratio Historical Data,Cloudflare PE Ratio Historical Data,Cloudflare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,90.4,,0.0
2024-06-30,82.83,$-0.29,0.0
2024-03-31,96.83,$-0.53,0.0
2023-12-31,83.26,$-0.55,0.0
2023-09-30,63.04,$-0.61,0.0
2023-06-30,65.37,$-0.67,0.0
2023-03-31,61.66,$-0.59,0.0
2022-12-31,45.21,$-0.60,0.0
2022-09-30,55.31,$-0.70,0.0
2022-06-30,43.75,$-0.91,0.0
2022-03-31,119.7,$-0.83,0.0
2021-12-31,131.5,$-0.83,0.0
2021-09-30,112.65,$-0.70,0.0
2021-06-30,105.84,$-0.45,0.0
2021-03-31,70.26,$-0.42,0.0
2020-12-31,75.99,$-0.40,0.0
2020-09-30,41.06,$-0.39,0.0
2020-06-30,35.95,$-0.65,0.0
