Medtronic PE Ratio Historical Data,Medtronic PE Ratio Historical Data,Medtronic PE Ratio Historical Data,Medtronic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,88.58,,29.93
2024-07-31,80.32,$2.96,27.14
2024-04-30,79.53,$2.75,28.92
2024-01-31,86.06,$3.14,27.41
2023-10-31,68.79,$3.07,22.41
2023-07-31,84.83,$2.71,31.3
2023-04-30,87.22,$2.82,30.93
2023-01-31,79.56,$3.04,26.17
2022-10-31,82.3,$3.22,25.56
2022-07-31,86.48,$3.87,22.35
2022-04-30,96.8,$3.73,25.95
2022-01-31,95.43,$3.63,26.29
2021-10-31,109.85,$3.47,31.66
2021-07-31,119.76,$2.86,41.87
2021-04-30,118.81,$2.66,44.66
2021-01-31,100.53,$2.14,46.98
2020-10-31,90.36,$2.62,34.49
2020-07-31,86.19,$3.27,26.36
2020-04-30,86.65,$3.55,24.41
2020-01-31,101.86,$3.94,25.85
2019-10-31,95.63,$3.46,27.64
2019-07-31,89.07,$3.27,27.24
2019-04-30,77.17,$3.42,22.56
2019-01-31,76.39,$3.62,21.1
2018-10-31,77.2,$1.65,46.79
2018-07-31,77.15,$2.31,33.4
2018-04-30,68.12,$2.26,30.14
2018-01-31,73.02,$2.03,35.97
2017-10-31,68.45,$3.65,18.75
2017-07-31,70.97,$2.97,23.89
2017-04-30,69.86,$2.89,24.17
2017-01-31,63.58,$2.83,22.47
2016-10-31,68.19,$3.01,22.65
2016-07-31,72.49,$2.57,28.21
2016-04-30,65.16,$2.48,26.27
2016-01-31,62.18,$1.70,36.58
2015-10-31,60.25,$1.91,31.54
2015-07-31,63.54,$2.38,26.7
2015-04-30,60.05,$2.68,22.41
2015-01-31,57.36,$3.12,18.38
2014-10-31,54.53,$2.89,18.87
2014-07-31,49.15,$2.95,16.66
2014-04-30,46.61,$3.01,15.48
2014-01-31,44.61,$3.52,12.67
2013-10-31,45.06,$3.74,12.05
2013-07-31,43.13,$3.48,12.39
2013-04-30,36.25,$3.38,10.73
2013-01-31,35.99,$3.37,10.68
2012-10-31,31.92,$3.28,9.73
2012-07-31,30.08,$3.47,8.67
2012-04-30,28.96,$3.41,8.49
2012-01-31,29.06,$3.19,9.11
2011-10-31,26.01,$3.17,8.2
2011-07-31,26.79,$2.87,9.33
2011-04-30,30.83,$2.86,10.78
2011-01-31,28.13,$3.00,9.38
2010-10-31,25.71,$2.89,8.89
2010-07-31,26.8,$3.15,8.51
2010-04-30,31.48,$2.79,11.28
2010-01-31,30.76,$2.15,14.31
2009-10-31,25.49,$2.05,12.43
