Central Puerto S.A PE Ratio Historical Data,Central Puerto S.A PE Ratio Historical Data,Central Puerto S.A PE Ratio Historical Data,Central Puerto S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.09,,4.12
2024-06-30,9.07,$2.45,3.7
2024-03-31,9.16,$2.54,3.61
2023-12-31,9.03,$2.37,3.81
2023-09-30,5.7,$0.35,16.28
2023-06-30,6.78,$0.47,14.43
2023-03-31,5.3,$0.46,11.51
2022-12-31,5.81,$0.75,7.75
2022-09-30,4.19,$0.70,5.99
2022-06-30,2.93,$0.66,4.43
2022-03-31,3.84,$0.22,17.46
2021-12-31,2.98,$-0.03,0.0
2021-09-30,2.95,$-0.04,0.0
2021-06-30,2.44,$-0.01,0.0
2021-03-31,2.15,$0.52,4.14
2020-12-31,2.57,$0.57,4.51
2020-09-30,2.13,$0.64,3.34
2020-06-30,2.42,$0.99,2.44
2020-03-31,2.14,$0.95,2.26
2019-12-31,4.63,$1.06,4.37
2019-09-30,2.73,$0.95,2.87
2019-06-30,8.58,$1.58,5.43
2019-03-31,8.5,$3.87,2.2
2018-12-31,8.51,$4.87,1.75
