Vertiv Holdings PE Ratio Historical Data,Vertiv Holdings PE Ratio Historical Data,Vertiv Holdings PE Ratio Historical Data,Vertiv Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,114.28,,89.28
2024-06-30,86.55,$1.28,67.61
2024-03-31,81.62,$1.04,78.48
2023-12-31,47.99,$1.18,40.67
2023-09-30,37.15,$0.65,57.15
2023-06-30,24.73,$0.47,52.63
2023-03-31,14.29,$0.30,47.63
2022-12-31,13.64,$-0.05,0.0
2022-09-30,9.7,$-0.06,0.0
2022-06-30,8.2,$0.03,273.4
2022-03-31,13.97,$0.01,0.0
2021-12-31,24.92,$0.33,75.5
2021-09-30,24.03,$0.49,49.04
2021-06-30,27.23,$0.29,93.9
2021-03-31,19.95,$0.34,58.67
2020-12-31,18.62,$-0.87,0.0
2020-09-30,17.27,$-1.13,0.0
2020-06-30,13.52,$-1.06,0.0
2020-03-31,8.62,$-1.11,0.0
2019-12-31,11.0,$0.04,274.9
2019-09-30,10.17,$0.11,92.44
2019-06-30,10.11,$0.09,112.32
