Southwest Gas PE Ratio Historical Data,Southwest Gas PE Ratio Historical Data,Southwest Gas PE Ratio Historical Data,Southwest Gas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,74.96,,29.75
2024-06-30,69.77,$2.52,27.69
2024-03-31,74.84,$2.67,28.03
2023-12-31,61.62,$2.12,29.07
2023-09-30,58.17,$-3.07,0.0
2023-06-30,60.71,$-3.29,0.0
2023-03-31,58.92,$-3.79,0.0
2022-12-31,57.82,$-2.88,0.0
2022-09-30,64.55,$2.45,26.35
2022-06-30,79.94,$2.44,32.76
2022-03-31,71.39,$2.97,24.04
2021-12-31,63.3,$3.42,18.51
2021-09-30,59.92,$4.09,14.65
2021-06-30,58.82,$4.60,12.79
2021-03-31,60.54,$4.85,12.48
2020-12-31,53.04,$4.13,12.84
2020-09-30,54.65,$3.98,13.73
2020-06-30,59.32,$3.76,15.78
2020-03-31,59.26,$3.49,16.98
2019-12-31,64.28,$3.95,16.27
2019-09-30,76.49,$3.64,21.01
2019-06-30,75.3,$3.79,19.87
2019-03-31,68.67,$3.82,17.98
2018-12-31,63.43,$3.68,17.24
2018-09-30,65.13,$4.32,15.08
2018-06-30,62.45,$4.28,14.59
2018-03-31,54.98,$4.21,13.06
2017-12-31,64.95,$4.03,16.12
2017-09-30,62.27,$3.40,18.31
2017-06-30,58.25,$3.24,17.98
2017-03-31,65.7,$3.06,21.47
2016-12-31,60.39,$3.19,18.93
2016-09-30,55.06,$3.20,17.21
2016-06-30,62.03,$3.05,20.34
2016-03-31,51.9,$2.96,17.53
2015-12-31,43.47,$2.91,14.94
2015-09-30,45.96,$2.78,16.53
2015-06-30,41.94,$2.92,14.36
2015-03-31,45.85,$3.03,15.13
2014-12-31,48.72,$3.01,16.18
2014-09-30,38.29,$2.98,12.85
2014-06-30,41.61,$2.88,14.45
2014-03-31,42.13,$2.89,14.58
2013-12-31,44.07,$3.11,14.17
2013-09-30,39.17,$3.23,12.13
2013-06-30,36.41,$3.20,11.38
2013-03-31,36.69,$2.90,12.65
2012-12-31,32.57,$2.87,11.35
2012-09-30,33.69,$2.72,12.39
2012-06-30,33.04,$2.47,13.38
2012-03-31,31.9,$2.64,12.08
2011-12-31,31.51,$1.92,16.41
2011-09-30,26.64,$0.84,31.72
2011-06-30,28.22,$1.16,24.33
2010-12-31,26.45,$2.49,10.62
2010-09-30,24.05,$2.53,9.51
2010-06-30,20.96,$3.90,5.37
2010-03-31,21.09,$4.10,5.14
2009-12-31,19.94,$2.69,7.41
2011-03-31,28.29,$2.79,10.14
