Gyre Therapeutics PE Ratio Historical Data,Gyre Therapeutics PE Ratio Historical Data,Gyre Therapeutics PE Ratio Historical Data,Gyre Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.02,,0.0
2024-06-30,11.93,$-0.56,0.0
2024-03-31,17.48,$-1.62,0.0
2023-12-31,25.69,$-1.50,0.0
2023-09-30,7.23,$-20.69,0.0
2023-06-30,5.27,$-22.49,0.0
2023-03-31,3.11,$3.15,0.99
2022-12-31,4.13,$-3.90,0.0
2022-09-30,3.95,$5.70,0.69
2022-06-30,2.09,$-3.90,0.0
2022-03-31,0.77,$-38.08,0.0
2021-12-31,1.07,$-43.03,0.0
2021-09-30,4.82,$-46.33,0.0
2021-06-30,5.07,$-45.28,0.0
2021-03-31,5.91,$-50.08,0.0
2020-12-31,7.4,$-42.43,0.0
2020-09-30,5.04,$-47.98,0.0
2020-06-30,6.88,$-52.92,0.0
2020-03-31,5.12,$-55.77,0.0
2019-12-31,7.98,$-70.47,0.0
2019-09-30,5.75,$-65.67,0.0
2019-06-30,8.64,$-59.37,0.0
2019-03-31,9.51,$-50.23,0.0
2018-12-31,9.25,$-39.73,0.0
2018-09-30,12.63,$-40.48,0.0
2018-06-30,13.68,$-50.97,0.0
2018-03-31,30.24,$-80.81,0.0
2017-12-31,15.99,$-140.93,0.0
2017-09-30,5.93,$-196.70,0.0
2017-06-30,5.45,$-266.52,0.0
2017-03-31,11.05,$-323.00,0.0
2016-12-31,11.43,$-324.16,0.0
2016-09-30,21.27,$-254.00,0.0
2016-06-30,26.72,$-164.09,0.0
