OUTFRONT Media PE Ratio Historical Data,OUTFRONT Media PE Ratio Historical Data,OUTFRONT Media PE Ratio Historical Data,OUTFRONT Media PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.09,,15.03
2024-06-30,14.04,$1.27,11.05
2024-03-31,16.48,$-2.66,0.0
2023-12-31,13.42,$-2.67,0.0
2023-09-30,9.48,$-2.68,0.0
2023-06-30,14.37,$-2.54,0.0
2023-03-31,14.53,$0.66,22.02
2022-12-31,14.59,$0.81,18.01
2022-09-30,13.15,$0.88,14.94
2022-06-30,14.42,$0.83,17.38
2022-03-31,23.84,$0.50,47.68
2021-12-31,22.24,$0.02,1112.01
2021-09-30,20.81,$-0.41,0.0
2021-06-30,19.77,$-0.73,0.0
2021-03-31,17.96,$-1.08,0.0
2020-12-31,16.09,$-0.52,0.0
2020-09-30,11.97,$-0.19,0.0
2020-06-30,11.66,$0.22,52.99
2020-03-31,11.09,$0.97,11.43
2019-12-31,21.73,$0.97,22.41
2019-09-30,22.19,$1.06,20.94
2019-06-30,20.33,$1.12,18.15
2019-03-31,18.19,$0.73,24.92
2018-12-31,13.86,$0.75,18.48
2018-09-30,15.0,$0.60,25.01
2018-06-30,14.37,$0.63,22.81
2018-03-31,13.6,$0.94,14.47
2017-12-31,16.52,$0.90,18.36
2017-09-30,17.66,$0.84,21.02
2017-06-30,15.95,$0.76,20.98
2017-03-31,18.02,$0.70,25.75
2016-12-31,16.66,$0.66,25.24
2016-09-30,15.63,$-0.07,0.0
2016-06-30,15.73,$-0.20,0.0
2016-03-31,13.53,$-0.25,0.0
2015-12-31,13.77,$-0.22,0.0
2015-09-30,12.92,$0.55,23.49
2015-06-30,15.44,$2.46,6.28
2015-03-31,18.08,$2.49,7.26
2014-12-31,16.0,$2.57,6.22
