Ternium S.A PE Ratio Historical Data,Ternium S.A PE Ratio Historical Data,Ternium S.A PE Ratio Historical Data,Ternium S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.67,,0.0
2024-06-30,37.55,$-3.53,0.0
2024-03-31,39.48,$3.37,11.71
2023-12-31,40.28,$1.73,23.28
2023-09-30,36.72,$0.40,91.79
2023-06-30,36.49,$8.24,4.43
2022-12-31,26.85,$9.00,2.98
2022-09-30,23.42,$13.88,1.69
2022-06-30,30.86,$19.22,1.61
2022-03-31,37.38,$20.36,1.84
2021-12-31,35.64,$18.32,1.95
2021-09-30,33.98,$16.31,2.08
2021-06-30,30.9,$13.25,2.33
2023-03-31,36.25,$8.78,4.13
2021-03-31,29.55,$7.09,4.17
2020-12-31,22.12,$3.96,5.59
2020-09-30,14.33,$1.24,11.55
2020-06-30,11.54,$0.98,11.78
2020-03-31,8.38,$1.68,4.99
2019-12-31,15.48,$2.85,5.43
2019-09-30,13.51,$4.30,3.14
2019-06-30,15.79,$6.31,2.5
2019-03-31,18.29,$7.09,2.58
2018-12-31,18.2,$7.85,2.32
2018-09-30,20.35,$6.98,2.92
2018-06-30,23.39,$5.48,4.27
2018-03-31,21.24,$5.05,4.21
2017-12-31,20.65,$4.51,4.58
2017-09-30,20.22,$4.19,4.83
2017-06-30,18.36,$4.37,4.2
2017-03-31,16.38,$3.88,4.22
2016-12-31,15.15,$3.03,5.0
2016-09-30,12.31,$1.79,6.88
2016-06-30,11.95,$0.75,15.94
2016-03-31,10.75,$0.18,59.72
2015-12-31,7.43,$-0.52,0.0
2015-09-30,7.35,$0.43,17.09
2015-06-30,10.35,$0.87,11.89
2015-03-31,10.34,$1.32,7.83
2014-12-31,10.1,$2.30,4.39
2014-09-30,13.76,$2.63,5.23
2014-06-30,15.99,$2.56,6.24
2014-03-31,16.5,$2.42,6.82
2013-12-31,17.46,$2.32,7.53
2013-09-30,13.4,$0.39,34.35
2013-06-30,12.62,$0.51,24.75
2013-03-31,11.04,$0.55,20.08
2012-12-31,12.78,$0.70,18.25
2012-09-30,10.65,$2.52,4.22
2012-06-30,10.62,$1.93,5.5
2012-03-31,12.45,$2.38,5.23
2011-12-31,9.67,$2.60,3.72
2011-09-30,10.95,$2.46,4.45
2011-06-30,15.52,$3.19,4.87
2011-03-31,17.98,$3.12,5.76
2010-12-31,21.22,$3.11,6.82
2010-09-30,16.33,$3.51,4.65
2010-06-30,16.47,$3.19,5.16
2010-03-31,20.22,$5.06,4.0
2009-12-31,17.46,$3.58,4.88
