Super Group (SGHC) PE Ratio Historical Data,Super Group (SGHC) PE Ratio Historical Data,Super Group (SGHC) PE Ratio Historical Data,Super Group (SGHC) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.17,,24.53
2024-06-30,3.23,$0.17,19.0
2024-03-31,3.45,$0.16,21.56
2023-09-30,3.69,$0.07,52.71
2023-06-30,2.9,$0.12,24.17
2023-03-31,4.03,$0.71,5.68
2022-12-31,3.0,$0.34,8.82
2022-09-30,4.08,$0.34,12.0
2022-06-30,4.1,$0.27,15.19
2022-03-31,10.71,$-0.38,0.0
2021-12-31,9.92,0,0.0
2021-09-30,10.02,0,0.0
2021-06-30,10.08,$-0.05,0.0
