First Merchants PE Ratio Historical Data,First Merchants PE Ratio Historical Data,First Merchants PE Ratio Historical Data,First Merchants PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,39.65,,12.67
2024-06-30,32.97,$3.13,10.53
2024-03-31,34.19,$3.47,9.85
2023-12-31,35.96,$3.74,9.61
2023-09-30,26.68,$4.22,6.32
2023-06-30,26.77,$4.36,6.14
2023-03-31,30.85,$3.97,7.77
2022-12-31,38.19,$3.81,10.02
2022-09-30,35.67,$3.51,10.16
2022-06-30,32.59,$3.41,9.56
2022-03-31,37.76,$3.81,9.91
2021-12-31,37.77,$3.81,9.91
2021-09-30,37.46,$3.75,9.99
2021-06-30,37.05,$3.44,10.77
2021-03-31,41.08,$3.03,13.56
2020-12-31,32.86,$2.74,11.99
2020-09-30,20.19,$2.78,7.26
2020-06-30,23.79,$2.82,8.44
2020-03-31,22.65,$3.03,7.48
2019-12-31,35.3,$3.19,11.06
2019-09-30,31.73,$3.17,10.01
2019-06-30,31.5,$3.29,9.57
2019-03-31,30.4,$3.26,9.33
2018-12-31,28.12,$3.22,8.73
2018-09-30,36.71,$2.86,12.84
2018-06-30,37.69,$2.53,14.9
2018-03-31,33.71,$2.30,14.66
2017-12-31,33.85,$2.12,15.97
2017-09-30,34.41,$2.18,15.78
2017-06-30,32.03,$2.19,14.62
2017-03-31,31.23,$2.11,14.8
2016-12-31,29.79,$1.98,15.05
2016-09-30,21.08,$1.80,11.71
2016-06-30,19.54,$1.74,11.23
2016-03-31,18.38,$1.72,10.68
2015-12-31,19.72,$1.72,11.47
2015-09-30,20.26,$1.76,11.51
2015-06-30,19.01,$1.76,10.8
2015-03-31,18.03,$1.70,10.61
2014-12-31,17.36,$1.65,10.52
2014-09-30,15.37,$1.58,9.73
2014-06-30,16.01,$1.48,10.82
2014-03-31,16.33,$1.41,11.58
2013-12-31,17.1,$1.41,12.13
2013-09-30,13.01,$1.39,9.36
2013-06-30,12.84,$1.39,9.24
2013-03-31,11.55,$1.33,8.68
2012-12-31,11.06,$1.41,7.84
2012-09-30,11.16,$1.33,8.39
2012-06-30,9.24,$0.73,12.66
2012-03-31,9.13,$0.63,14.49
2011-12-31,6.26,$0.34,18.42
2011-09-30,5.21,$0.20,26.03
2011-06-30,6.59,$0.47,14.03
2011-03-31,6.08,$0.64,9.5
2010-12-31,6.52,$0.48,13.58
2010-09-30,5.61,$-0.17,0.0
2010-06-30,6.22,$-0.49,0.0
2010-03-31,5.1,$-2.32,0.0
2009-12-31,4.35,$-2.16,0.0
