Grupo Televisa S.A PE Ratio Historical Data,Grupo Televisa S.A PE Ratio Historical Data,Grupo Televisa S.A PE Ratio Historical Data,Grupo Televisa S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.38,,0.0
2024-06-30,2.77,$-0.88,0.0
2024-03-31,3.2,$-0.87,0.0
2023-12-31,3.34,$-1.05,0.0
2023-09-30,3.05,$-1.40,0.0
2023-06-30,5.13,$-1.20,0.0
2023-03-31,5.18,$-0.93,0.0
2022-12-31,4.47,$3.70,1.21
2022-09-30,5.27,$5.19,1.02
2022-06-30,8.01,$5.16,1.55
2022-03-31,11.36,$5.07,2.24
2021-12-31,9.09,$0.47,19.35
2021-09-30,10.66,$0.48,22.2
2021-06-30,13.86,$-0.44,0.0
2021-03-31,8.54,$-0.41,0.0
2020-09-30,5.96,$-0.29,0.0
2020-03-31,5.59,$-0.48,0.0
2019-12-31,11.31,$0.42,26.93
2019-09-30,9.43,$0.21,44.91
2019-06-30,8.14,$0.22,36.99
2019-03-31,10.57,$0.52,20.32
2018-12-31,12.02,$0.53,22.67
2018-09-30,16.95,$0.57,29.73
2018-06-30,18.1,$0.60,30.17
2018-03-31,15.17,$0.35,43.34
2017-12-31,17.74,$0.41,43.28
2017-09-30,23.45,$0.41,57.19
2017-06-30,23.16,$0.39,59.39
2017-03-31,24.56,$0.40,61.4
2016-12-31,19.78,$0.34,58.17
2016-09-30,24.32,$0.45,54.05
2016-06-30,24.66,$1.05,23.48
2016-03-31,25.91,$1.06,24.44
2015-12-31,25.67,$1.17,21.94
2015-09-30,24.55,$1.34,18.32
2015-06-30,36.63,$0.63,58.14
2015-03-31,31.05,$0.78,39.81
2014-12-31,32.04,$0.72,44.5
2014-09-30,31.87,$0.73,43.66
2014-06-30,32.28,$1.05,30.74
2014-03-31,31.32,$1.01,31.01
2013-12-31,28.47,$1.06,26.86
2013-09-30,26.17,$1.13,23.16
2013-06-30,23.26,$1.21,19.22
2013-03-31,24.78,$1.12,22.13
2012-12-31,24.75,$1.15,21.52
2012-09-30,21.89,$1.02,21.47
2012-06-30,20.0,$0.94,21.28
2012-03-31,19.5,$1.04,18.75
2011-12-31,19.49,$0.98,19.88
2011-09-30,17.02,$1.09,15.61
2011-06-30,22.76,$1.11,20.51
2011-03-31,22.55,$1.10,20.5
2010-12-31,23.84,$1.12,21.28
2010-09-30,17.39,$0.90,19.33
2010-06-30,16.0,$0.86,18.61
2010-03-31,19.32,$0.84,23.0
2009-12-31,19.08,$0.82,23.27
