BancFirst PE Ratio Historical Data,BancFirst PE Ratio Historical Data,BancFirst PE Ratio Historical Data,BancFirst PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,115.62,,19.3
2024-06-30,87.32,$5.99,14.58
2024-03-31,87.22,$6.12,14.25
2023-12-31,95.96,$6.34,15.14
2023-09-30,85.14,$6.58,12.94
2023-06-30,89.88,$6.71,13.39
2023-03-31,80.83,$6.41,12.61
2022-12-31,85.35,$5.77,14.79
2022-09-30,86.21,$5.22,16.52
2022-06-30,91.81,$4.73,19.41
2022-03-31,79.52,$4.84,16.43
2021-12-31,67.14,$5.03,13.35
2021-09-30,56.92,$4.94,11.52
2021-06-30,58.76,$4.41,13.32
2021-03-31,66.17,$3.59,18.43
2020-12-31,54.69,$3.00,18.23
2020-09-30,37.83,$3.01,12.57
2020-06-30,37.27,$3.38,11.03
2020-03-31,30.4,$3.77,8.06
2019-12-31,56.36,$4.05,13.92
2019-09-30,49.77,$3.96,12.57
2019-06-30,49.7,$3.94,12.61
2019-03-31,46.31,$3.83,12.09
2018-12-31,44.06,$3.76,11.72
2018-09-30,52.62,$3.37,15.61
2018-06-30,51.7,$3.06,16.9
2018-03-31,46.21,$2.86,16.16
2017-12-31,44.34,$2.65,16.73
2017-09-30,48.99,$2.64,18.56
2017-06-30,41.55,$2.54,16.39
2017-03-31,38.51,$2.38,16.22
2016-12-31,39.69,$2.22,17.88
2016-09-30,30.81,$2.14,14.43
2016-06-30,25.49,$2.06,12.37
2016-03-31,23.95,$2.10,11.43
2015-12-31,24.46,$2.09,11.73
2015-09-30,26.18,$2.09,12.56
2015-06-30,27.0,$2.19,12.33
2015-03-31,25.03,$2.07,12.12
2014-12-31,25.87,$2.02,12.81
2014-09-30,25.4,$1.97,12.93
2014-06-30,25.0,$1.84,13.62
2014-03-31,22.76,$1.78,12.79
2013-12-31,22.4,$1.74,12.88
2013-09-30,21.49,$1.70,12.68
2013-06-30,18.4,$1.68,10.95
2013-03-31,16.38,$1.66,9.9
2012-12-31,16.52,$1.68,9.84
2012-09-30,16.64,$1.66,10.03
2012-06-30,16.13,$1.62,9.99
2012-03-31,16.55,$1.56,10.61
2011-12-31,14.26,$1.47,9.73
2011-09-30,12.51,$1.42,8.84
2011-06-30,14.43,$1.39,10.42
2011-03-31,15.86,$1.42,11.21
2010-12-31,15.21,$1.36,11.23
2010-09-30,14.86,$1.35,11.04
2010-06-30,13.32,$1.27,10.49
2010-03-31,15.2,$1.12,13.63
2009-12-31,13.36,$1.05,12.79
