Altair Engineering PE Ratio Historical Data,Altair Engineering PE Ratio Historical Data,Altair Engineering PE Ratio Historical Data,Altair Engineering PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,95.79,,309.0
2024-06-30,98.08,$0.31,316.39
2024-03-31,86.15,$0.09,957.22
2023-12-31,84.15,$-0.13,0.0
2023-09-30,62.56,$-0.21,0.0
2023-06-30,75.84,$-0.58,0.0
2023-03-31,72.11,$-0.73,0.0
2022-12-31,45.47,$-0.58,0.0
2022-09-30,44.22,$-0.74,0.0
2022-06-30,52.5,$-0.43,0.0
2022-03-31,64.4,$-0.18,0.0
2021-12-31,77.32,$-0.13,0.0
2021-09-30,68.94,$-0.08,0.0
2021-06-30,68.97,$-0.09,0.0
2021-03-31,62.57,$-0.05,0.0
2020-12-31,58.18,$-0.15,0.0
2020-09-30,41.98,$-0.20,0.0
2020-06-30,39.75,$-0.30,0.0
2020-03-31,26.5,$-0.20,0.0
2019-12-31,35.91,$-0.11,0.0
2019-09-30,34.62,$-0.24,0.0
2019-06-30,40.39,$0.08,504.88
2019-03-31,36.81,$0.14,262.93
2018-12-31,27.58,$0.02,1379.0
2018-09-30,43.45,$-0.86,0.0
