Stryker PE Ratio Historical Data,Stryker PE Ratio Historical Data,Stryker PE Ratio Historical Data,Stryker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,360.42,,40.73
2024-06-30,340.25,$8.85,38.45
2023-12-31,298.09,$8.25,36.13
2023-09-30,271.3,$6.74,40.25
2023-06-30,302.06,$6.99,43.21
2023-03-31,281.93,$7.20,39.16
2022-12-31,240.82,$7.38,32.63
2024-03-31,357.03,$6.75,52.89
2022-09-30,198.89,$6.43,30.93
2022-06-30,194.69,$5.43,35.85
2022-03-31,260.74,$5.26,49.57
2021-12-31,260.13,$5.21,49.93
2021-09-30,255.88,$4.97,51.48
2021-06-30,251.42,$5.46,46.05
2021-03-31,235.21,$3.69,63.74
2020-12-31,236.01,$4.20,56.19
2020-09-30,200.17,$4.61,43.42
2020-06-30,172.62,$4.21,41.0
2020-03-31,158.98,$5.69,27.94
2019-12-31,199.76,$5.48,36.45
2019-09-30,205.25,$9.02,22.75
2019-06-30,194.6,$9.34,20.84
2019-03-31,186.49,$9.27,20.12
2018-12-31,147.61,$9.34,15.8
2018-09-30,166.76,$3.24,51.47
2018-06-30,158.05,$2.83,55.85
2018-03-31,150.21,$2.67,56.26
2017-12-31,144.1,$2.85,50.56
2017-09-30,131.77,$4.45,29.61
2017-06-30,128.38,$4.31,29.79
2016-12-31,110.14,$4.35,25.32
2016-09-30,106.63,$4.39,24.29
2016-06-30,109.41,$4.62,23.68
2016-03-31,97.64,$4.41,22.14
2015-12-31,84.28,$4.37,19.29
2017-03-31,121.41,$3.57,34.01
2015-09-30,85.0,$3.07,27.69
2015-06-30,86.0,$2.44,35.25
2015-03-31,82.72,$1.97,41.99
2014-12-31,84.27,$1.57,53.68
2014-09-30,71.88,$1.91,37.63
2014-06-30,74.78,$2.02,37.02
2014-03-31,71.99,$2.02,35.64
2013-12-31,66.15,$2.63,25.15
2013-09-30,59.26,$2.33,25.43
2013-06-30,56.49,$2.98,18.96
2013-03-31,56.74,$3.27,17.35
2012-12-31,47.49,$3.39,14.01
2012-09-30,47.98,$3.73,12.86
2012-06-30,47.32,$3.65,12.96
2012-03-31,47.46,$3.59,13.22
2011-12-31,42.36,$3.46,12.24
2011-09-30,39.99,$3.15,12.7
2011-06-30,49.62,$3.16,15.7
2011-03-31,51.24,$3.17,16.17
2010-12-31,45.13,$3.19,14.15
2010-09-30,41.92,$3.21,13.06
2010-06-30,41.8,$2.93,14.27
2010-03-31,47.64,$2.86,16.66
2009-12-31,41.83,$2.77,15.1
