Columbus McKinnon PE Ratio Historical Data,Columbus McKinnon PE Ratio Historical Data,Columbus McKinnon PE Ratio Historical Data,Columbus McKinnon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.99,,21.87
2024-06-30,34.47,$1.60,21.54
2024-03-31,44.46,$1.62,27.44
2023-12-31,38.81,$1.69,22.96
2023-09-30,34.65,$1.77,19.57
2023-06-30,40.27,$1.71,23.55
2023-03-31,36.74,$1.68,21.87
2022-12-31,32.04,$1.61,19.9
2022-09-30,25.75,$1.53,16.83
2022-06-30,27.86,$1.57,17.75
2022-03-31,41.56,$1.01,41.15
2021-12-31,45.28,$0.99,45.74
2021-09-30,47.27,$0.92,51.38
2021-06-30,47.1,$0.22,214.1
2021-03-31,51.45,$0.37,139.06
2020-12-31,37.44,$0.37,101.19
2020-09-30,32.18,$0.73,44.09
2020-06-30,32.47,$1.59,20.42
2020-03-31,24.21,$2.49,9.72
2019-12-31,38.7,$2.93,13.21
2019-09-30,35.17,$2.27,15.49
2019-06-30,40.45,$2.25,17.98
2019-03-31,33.05,$1.80,18.36
2018-12-31,28.96,$1.33,21.78
2018-09-30,37.95,$0.90,42.16
2018-06-30,41.56,$0.77,53.98
2018-03-31,34.3,$0.95,36.11
2017-12-31,38.22,$0.37,103.31
2017-09-30,36.17,$0.85,42.55
2017-06-30,24.25,$0.64,37.89
2017-03-31,23.64,$0.45,52.53
2016-12-31,25.71,$0.96,26.78
2016-09-30,16.93,$1.30,13.02
2016-06-30,13.4,$0.95,14.1
2016-03-31,14.88,$0.97,15.34
2015-12-31,17.8,$0.78,22.82
2015-09-30,17.06,$0.81,21.07
2015-06-30,23.45,$1.36,17.24
2015-03-31,25.23,$1.36,18.55
2014-12-31,26.22,$1.74,15.07
2014-09-30,20.53,$1.68,12.22
2014-06-30,25.21,$1.51,16.7
2014-03-31,24.93,$1.52,16.4
2013-12-31,25.26,$3.68,6.86
2013-09-30,22.36,$3.84,5.82
2013-06-30,19.84,$3.90,5.09
2013-03-31,17.92,$3.98,4.5
2012-12-31,15.37,$1.80,8.54
2012-09-30,14.06,$1.75,8.04
2012-06-30,14.04,$1.67,8.41
2012-03-31,15.16,$1.38,10.99
2011-12-31,11.81,$1.05,11.25
2011-09-30,10.2,$-1.47,0.0
2011-06-30,16.71,$-1.71,0.0
2011-03-31,17.18,$-1.89,0.0
2010-12-31,18.91,$-2.00,0.0
2010-09-30,15.44,$-0.04,0.0
2010-06-30,13.0,$-0.28,0.0
2010-03-31,14.77,$-0.37,0.0
2009-12-31,12.72,$-5.82,0.0
