Novanta PE Ratio Historical Data,Novanta PE Ratio Historical Data,Novanta PE Ratio Historical Data,Novanta PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,177.09,,102.36
2024-06-30,163.11,$1.73,94.28
2024-03-31,174.77,$1.93,90.55
2023-12-31,168.41,$2.03,82.96
2023-09-30,143.44,$2.10,68.3
2023-06-30,184.1,$2.14,86.03
2023-03-31,159.09,$2.05,77.6
2022-12-31,135.87,$2.07,65.64
2022-09-30,115.65,$2.03,56.97
2022-06-30,121.27,$1.78,68.13
2022-03-31,142.29,$1.62,87.83
2021-12-31,176.33,$1.41,125.06
2021-09-30,154.5,$1.38,111.96
2021-06-30,134.76,$1.23,109.56
2021-03-31,131.89,$1.23,107.23
2020-12-31,118.22,$1.25,94.58
2020-09-30,105.34,$1.16,90.81
2020-06-30,106.77,$1.18,90.48
2020-03-31,79.88,$1.14,70.07
2019-12-31,88.44,$1.15,76.9
2019-09-30,81.72,$1.22,66.98
2019-06-30,94.3,$1.57,60.06
2019-03-31,84.73,$1.60,52.96
2018-12-31,63.0,$1.43,44.06
2018-09-30,68.4,$1.10,62.18
2018-06-30,62.3,$0.50,124.6
2018-03-31,52.15,$0.34,153.38
2017-12-31,50.0,$1.14,43.86
2017-09-30,43.6,$1.36,32.06
2017-06-30,36.0,$1.57,22.93
2017-03-31,26.55,$1.55,17.13
