Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,52.38,,13.93
2024-06-30,41.72,$3.76,11.1
2024-03-31,53.13,$3.96,13.43
2023-12-31,49.76,$4.14,12.01
2023-09-30,40.2,$4.35,9.24
2023-06-30,39.7,$4.45,8.92
2023-03-31,35.55,$4.57,7.78
2022-12-31,33.91,$4.57,7.43
2022-09-30,28.33,$4.19,6.75
2022-06-30,31.0,$3.93,7.88
2022-03-31,32.61,$3.32,9.82
2021-12-31,35.51,$2.78,12.77
2021-09-30,28.72,$2.47,11.61
2021-06-30,27.39,$2.07,13.21
2021-03-31,31.45,$1.61,19.52
2020-12-31,26.03,$1.36,19.14
2020-09-30,21.09,$1.16,18.12
2020-06-30,17.25,$1.23,14.02
2020-03-31,13.24,$1.52,8.73
2019-12-31,19.22,$1.68,11.47
2019-09-30,15.9,$1.92,8.26
2019-06-30,15.0,$1.92,7.83
2019-03-31,17.18,$1.75,9.83
2018-12-31,14.13,$1.54,9.19
2018-09-30,16.05,$2.13,7.53
2018-06-30,17.67,$2.00,8.85
2018-03-31,17.31,$1.92,9.03
2017-12-31,20.69,$1.85,11.19
2017-09-30,18.85,$0.86,21.98
2017-06-30,15.14,$0.70,21.56
2017-03-31,13.47,$0.58,23.14
2016-12-31,12.99,$0.45,28.94
2016-09-30,9.97,$0.42,23.86
2016-06-30,8.78,$0.47,18.81
2016-03-31,7.43,$0.56,13.27
2015-12-31,8.92,$0.72,12.46
2015-09-30,9.84,$0.88,11.24
2015-06-30,10.67,$0.92,11.66
2015-03-31,11.14,$0.92,12.11
2014-12-31,13.05,$0.87,14.98
2014-09-30,13.62,$0.77,17.72
2014-06-30,14.12,$0.68,20.77
2014-03-31,13.23,$0.52,25.23
2013-12-31,12.08,$0.54,22.28
2013-09-30,10.8,$0.54,20.08
2013-06-30,10.08,$0.54,18.59
2013-03-31,9.82,$0.68,14.54
2012-12-31,8.42,$0.70,11.99
2012-09-30,7.84,$0.76,10.26
2012-06-30,6.66,$0.78,8.56
2012-03-31,8.64,$0.72,11.93
2011-12-31,8.52,$0.63,13.5
2011-09-30,5.77,$0.52,11.19
2011-06-30,7.75,$0.50,15.57
2011-03-31,8.06,$0.42,19.1
2010-12-31,8.32,$0.36,22.84
2010-09-30,6.25,$0.28,22.67
2010-06-30,5.44,$0.15,37.07
2010-03-31,5.38,$0.06,86.36
2009-12-31,4.84,$0.07,68.01
