Enterprise Products Partners PE Ratio Historical Data,Enterprise Products Partners PE Ratio Historical Data,Enterprise Products Partners PE Ratio Historical Data,Enterprise Products Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.13,,11.12
2024-06-30,28.46,$2.62,10.86
2024-03-31,28.15,$2.55,11.04
2023-12-31,24.95,$2.52,9.9
2023-09-30,25.43,$2.45,10.38
2023-06-30,24.03,$2.47,9.73
2023-03-31,23.19,$2.54,9.13
2022-12-31,21.19,$2.50,8.47
2022-09-30,20.5,$2.32,8.83
2022-06-30,20.63,$2.22,9.29
2022-03-31,21.47,$2.08,10.32
2021-12-31,17.92,$2.10,8.53
2021-09-30,17.32,$1.78,9.73
2021-06-30,18.94,$1.74,10.89
2021-03-31,16.96,$1.71,9.92
2020-12-31,14.76,$1.71,8.63
2020-09-30,11.59,$2.06,5.63
2020-06-30,13.01,$2.04,6.38
2020-03-31,10.0,$2.12,4.72
2019-12-31,19.36,$2.08,9.31
2019-09-30,19.33,$2.17,8.91
2019-06-30,19.24,$2.31,8.33
2019-03-31,19.1,$2.07,9.23
2018-12-31,15.89,$1.91,8.32
2018-09-30,18.27,$1.68,10.87
2018-06-30,17.34,$1.36,12.75
2018-03-31,15.09,$1.35,11.18
2017-12-31,16.1,$1.30,12.39
2017-09-30,15.57,$1.25,12.46
2017-06-30,15.93,$1.27,12.54
2017-03-31,16.0,$1.24,12.9
2016-12-31,15.45,$1.20,12.87
2016-09-30,15.55,$1.23,12.64
2016-06-30,16.23,$1.25,12.99
2016-03-31,13.46,$1.26,10.69
2015-12-31,13.75,$1.26,10.91
2015-09-30,13.19,$1.26,10.47
2015-06-30,15.63,$1.31,11.93
2015-03-31,17.03,$1.37,12.43
2014-12-31,18.48,$1.48,12.53
2014-09-30,20.42,$1.51,13.52
2014-06-30,19.65,$1.46,13.46
2014-03-31,17.24,$1.42,12.14
2013-12-31,16.3,$1.41,11.56
2013-09-30,14.85,$1.38,10.8
2013-06-30,14.95,$1.39,10.79
2013-03-31,14.34,$1.41,10.21
2012-12-31,11.78,$1.36,8.69
2012-09-30,12.53,$1.43,8.79
2012-06-30,11.84,$1.37,8.64
2012-03-31,11.52,$1.31,8.83
2011-12-31,10.45,$1.19,8.82
2011-09-30,8.93,$0.94,9.5
2011-06-30,9.47,$0.90,10.52
2011-03-31,9.31,$0.88,10.64
2010-12-31,8.87,$0.88,10.08
2010-09-30,8.34,$1.02,8.22
2010-06-30,7.33,$0.96,7.63
2010-03-31,7.05,$0.89,7.92
2009-12-31,6.29,$0.85,7.44
