Wolverine World Wide PE Ratio Historical Data,Wolverine World Wide PE Ratio Historical Data,Wolverine World Wide PE Ratio Historical Data,Wolverine World Wide PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.94,,0.0
2024-06-30,13.34,$-1.06,0.0
2024-03-31,11.06,$-0.93,0.0
2023-12-31,8.69,$-0.51,0.0
2023-09-30,7.79,$-3.95,0.0
2023-06-30,14.03,$-3.58,0.0
2023-03-31,16.18,$-2.35,0.0
2022-12-31,10.31,$-2.46,0.0
2022-09-30,14.38,$1.95,7.38
2022-06-30,18.72,$1.47,12.73
2022-03-31,20.84,$0.47,44.35
2021-12-31,26.5,$0.80,33.13
2021-09-30,27.35,$-1.12,0.0
2021-06-30,30.73,$-0.85,0.0
2021-03-31,34.91,$-1.40,0.0
2020-12-31,28.39,$-1.69,0.0
2020-09-30,23.4,$0.40,58.5
2020-06-30,21.48,$0.70,30.69
2020-03-31,13.66,$1.17,11.67
2019-12-31,30.11,$1.44,20.91
2019-09-30,25.15,$1.85,13.59
2019-06-30,24.42,$1.88,12.99
2019-03-31,31.57,$2.00,15.78
2018-12-31,28.1,$2.05,13.71
2018-09-30,34.4,$1.00,34.4
2018-06-30,30.57,$0.64,47.77
2018-03-31,25.35,$0.28,90.54
2017-12-31,27.89,$-0.03,0.0
2017-09-30,25.19,$0.60,41.98
2017-06-30,24.41,$0.85,28.71
2017-03-31,21.71,$0.88,24.67
2016-12-31,19.04,$0.89,21.39
2016-09-30,19.92,$1.03,19.34
2016-06-30,17.53,$0.98,17.89
2016-03-31,15.84,$0.98,16.17
2015-12-31,14.33,$1.19,12.04
2015-09-30,18.49,$1.17,15.8
2015-06-30,24.26,$1.30,18.66
2015-03-31,28.44,$1.33,21.38
2014-12-31,25.01,$1.30,19.24
2014-09-30,21.22,$1.18,17.99
2014-06-30,22.02,$1.15,19.15
2014-03-31,24.07,$1.06,22.71
2013-12-31,28.57,$1.00,28.57
2013-09-30,24.45,$0.98,24.95
2013-06-30,22.91,$0.77,29.75
2013-03-31,18.57,$0.80,23.21
2012-12-31,17.1,$0.82,20.86
2012-09-30,18.46,$1.10,16.86
2012-06-30,16.09,$1.18,13.7
2012-03-31,15.38,$1.21,12.77
2011-12-31,14.7,$1.25,11.81
2011-09-30,13.67,$1.27,10.76
2011-06-30,17.1,$1.21,14.13
2011-03-31,15.23,$1.15,13.3
2010-12-31,12.98,$1.06,12.3
2010-09-30,11.77,$0.96,12.26
2010-06-30,10.19,$0.88,11.59
2010-03-31,11.74,$0.79,14.95
2009-12-31,10.91,$0.62,17.6
