Regeneron Pharmaceuticals PE Ratio Historical Data,Regeneron Pharmaceuticals PE Ratio Historical Data,Regeneron Pharmaceuticals PE Ratio Historical Data,Regeneron Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,1184.69,,31.37
2024-06-30,1051.03,$37.76,27.83
2024-03-31,962.49,$33.85,28.43
2023-12-31,878.29,$38.08,23.06
2023-09-30,822.96,$39.55,20.81
2023-06-30,718.54,$38.13,18.84
2022-12-31,721.49,$38.24,18.87
2022-09-30,688.87,$47.43,14.52
2022-06-30,591.13,$42.94,13.77
2022-03-31,698.42,$49.80,14.02
2021-12-31,631.52,$69.16,9.13
2023-03-31,821.67,$59.56,13.8
2021-09-30,605.18,$62.63,9.66
2021-06-30,558.54,$55.69,10.03
2021-03-31,473.14,$35.33,13.39
2020-12-31,483.11,$30.67,15.75
2020-09-30,559.78,$27.36,20.46
2020-06-30,623.65,$25.83,24.14
2020-03-31,488.29,$19.90,24.54
2019-12-31,375.48,$18.46,20.34
2019-09-30,277.4,$18.68,14.85
2019-06-30,313.0,$17.99,17.4
2019-03-31,410.62,$21.13,19.43
2018-12-31,373.5,$21.30,17.54
2018-09-30,404.04,$15.65,25.82
2018-06-30,344.99,$13.80,25.0
2018-03-31,344.36,$12.32,27.95
2017-12-31,375.96,$10.32,36.43
2017-09-30,447.12,$11.01,40.61
2017-06-30,491.14,$9.96,49.31
2017-03-31,387.51,$8.31,46.63
2016-12-31,367.09,$7.60,48.3
2016-09-30,402.02,$6.75,59.56
2016-06-30,349.23,$6.30,55.43
2016-03-31,360.44,$6.30,57.21
2015-12-31,542.87,$5.51,98.52
2015-09-30,465.14,$5.13,90.67
2015-06-30,510.13,$4.01,127.21
2015-03-31,451.48,$3.14,143.78
2014-12-31,410.25,$3.06,134.07
2014-09-30,360.52,$2.96,121.8
2014-06-30,282.47,$3.51,80.48
2014-03-31,300.28,$3.48,86.29
2013-12-31,275.24,$3.80,72.43
2013-09-30,312.87,$7.02,44.57
2013-06-30,224.88,$7.49,30.02
2013-03-31,176.4,$7.40,23.84
2012-12-31,171.07,$6.61,25.88
2012-09-30,152.66,$1.95,78.29
2012-06-30,114.22,$-0.45,0.0
2012-03-31,116.62,$-1.84,0.0
2011-12-31,55.43,$-2.44,0.0
2011-09-30,58.2,$-2.03,0.0
2011-06-30,56.71,$-1.76,0.0
2011-03-31,44.94,$-1.38,0.0
2010-12-31,32.83,$-1.27,0.0
2010-09-30,27.4,$-1.56,0.0
2010-06-30,22.32,$-1.16,0.0
2010-03-31,26.49,$-1.04,0.0
2009-12-31,24.18,$-0.88,0.0
