Cactus PE Ratio Historical Data,Cactus PE Ratio Historical Data,Cactus PE Ratio Historical Data,Cactus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,61.39,,22.99
2024-06-30,52.63,$2.67,19.71
2023-12-31,45.08,$2.55,17.68
2023-09-30,49.71,$2.31,21.52
2023-06-30,41.8,$2.10,19.91
2023-03-31,40.59,$2.23,18.2
2022-12-31,49.37,$2.04,24.2
2024-03-31,49.87,$1.88,26.52
2022-09-30,37.67,$1.54,24.46
2022-06-30,39.37,$1.24,31.75
2022-03-31,55.36,$0.98,56.49
2021-12-31,37.12,$0.83,44.73
2021-09-30,36.62,$0.65,56.34
2021-06-30,35.56,$0.57,62.39
2021-03-31,29.58,$0.50,59.15
2020-12-31,25.11,$0.71,35.37
2020-09-30,18.42,$1.02,18.06
2020-06-30,19.72,$1.30,15.17
2020-03-31,11.04,$1.64,6.73
2019-12-31,32.55,$1.83,17.79
2019-09-30,27.37,$1.89,14.48
2019-06-30,31.32,$2.00,15.66
2019-03-31,33.66,$1.69,19.92
2018-12-31,25.92,$1.56,16.61
