Marathon Petroleum PE Ratio Historical Data,Marathon Petroleum PE Ratio Historical Data,Marathon Petroleum PE Ratio Historical Data,Marathon Petroleum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,177.12,,9.31
2024-06-30,172.65,$19.03,9.07
2024-03-31,199.58,$20.02,9.97
2023-12-31,146.22,$23.53,6.21
2023-09-30,148.34,$26.78,5.54
2023-06-30,113.69,$27.56,4.13
2023-03-31,130.55,$33.19,3.93
2022-12-31,112.03,$28.59,3.92
2022-09-30,95.02,$22.77,4.17
2022-06-30,78.17,$14.80,5.28
2022-03-31,80.82,$16.85,4.8
2021-12-31,60.04,$14.99,4.01
2021-09-30,57.48,$14.01,4.1
2021-06-30,55.63,$11.35,4.9
2021-03-31,48.78,$-1.64,0.0
2020-12-31,37.29,$-15.52,0.0
2020-09-30,26.08,$-15.13,0.0
2020-06-30,32.72,$-11.90,0.0
2020-03-31,20.33,$-10.25,0.0
2019-12-31,51.34,$3.99,12.87
2019-09-30,51.33,$4.66,11.01
2019-06-30,46.68,$4.62,10.1
2019-03-31,49.49,$5.23,9.46
2018-12-31,48.4,$5.32,9.1
2018-09-30,65.11,$8.06,8.08
2018-06-30,56.78,$8.21,6.92
2018-03-31,58.82,$6.94,8.48
2017-12-31,52.72,$6.92,7.62
2017-09-30,44.52,$3.26,13.66
2017-06-30,41.23,$1.76,23.42
2017-03-31,39.55,$2.27,17.42
2016-12-31,39.12,$2.21,17.7
2016-09-30,31.28,$2.13,14.69
2016-06-30,29.0,$3.62,8.01
2016-03-31,28.15,$3.62,7.78
2015-12-31,38.86,$5.24,7.42
2015-09-30,34.52,$6.32,5.46
2015-06-30,38.76,$5.74,6.75
2015-03-31,37.75,$5.71,6.62
2014-12-31,33.12,$4.42,7.49
2014-09-30,30.9,$4.03,7.68
2014-06-30,28.33,$3.12,9.1
2014-03-31,31.44,$2.56,12.31
2013-12-31,32.98,$3.31,9.98
2013-09-30,23.0,$3.39,6.78
2013-06-30,25.1,$4.92,5.11
2013-03-31,31.51,$5.19,6.07
2012-12-31,22.06,$4.96,4.45
2012-09-30,19.0,$3.73,5.09
2012-06-30,15.52,$3.06,5.08
2012-03-31,14.88,$3.45,4.32
