Ensign PE Ratio Historical Data,Ensign PE Ratio Historical Data,Ensign PE Ratio Historical Data,Ensign PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,149.04,,38.22
2024-06-30,123.64,$3.90,31.7
2024-03-31,124.31,$3.80,32.71
2023-12-31,112.06,$3.66,30.62
2023-09-30,92.75,$4.34,21.37
2023-06-30,95.22,$4.22,22.56
2023-03-31,95.24,$4.11,23.17
2022-12-31,94.26,$3.95,23.86
2022-09-30,79.16,$3.75,21.11
2022-06-30,73.1,$3.59,20.36
2022-03-31,89.49,$3.45,25.94
2021-12-31,83.43,$3.42,24.39
2021-09-30,74.37,$3.38,22.0
2021-06-30,86.0,$3.32,25.9
2021-03-31,93.06,$3.18,29.27
2020-12-31,72.28,$3.05,23.7
2020-09-30,56.51,$2.72,20.78
2020-06-30,41.41,$2.43,17.04
2020-03-31,37.17,$2.21,16.82
2019-12-31,44.78,$1.97,22.73
2019-09-30,42.94,$1.96,21.91
2019-06-30,51.48,$1.86,27.68
2019-03-31,46.26,$1.76,26.29
2018-12-31,35.02,$1.70,20.6
2018-09-30,34.2,$1.43,23.91
2018-06-30,32.26,$1.32,24.44
2018-03-31,23.66,$1.14,20.75
2017-12-31,19.94,$0.76,26.23
2017-09-30,20.25,$0.90,22.5
2017-06-30,19.47,$0.84,23.18
2017-03-31,16.79,$0.83,20.22
2016-12-31,19.78,$0.96,20.61
2016-09-30,17.9,$0.87,20.57
2016-06-30,18.64,$0.92,20.38
2016-03-31,20.05,$0.95,21.22
2015-12-31,20.01,$1.07,18.7
2015-09-30,18.81,$1.06,17.83
2015-06-30,22.49,$0.99,22.72
2015-03-31,20.61,$0.79,26.26
2014-12-31,19.49,$0.78,24.99
2014-09-30,15.26,$0.83,18.38
2014-06-30,13.6,$0.88,15.54
2014-03-31,10.61,$1.11,9.61
2013-12-31,10.75,$0.57,19.03
2013-09-30,9.97,$0.32,31.64
2013-06-30,8.53,$0.38,22.44
2013-03-31,8.07,$0.39,20.69
2012-12-31,6.55,$0.93,7.08
2012-09-30,7.36,$1.12,6.57
2012-06-30,6.79,$1.09,6.23
2012-03-31,6.51,$1.11,5.89
2011-12-31,5.86,$1.11,5.3
2011-09-30,5.51,$1.14,4.83
2011-06-30,7.23,$1.11,6.54
2011-03-31,7.58,$1.04,7.33
2010-12-31,5.9,$0.96,6.14
2010-09-30,4.25,$0.89,4.77
2010-06-30,3.9,$0.84,4.64
2010-03-31,4.06,$0.81,5.05
2009-12-31,3.6,$0.78,4.65
