RPM PE Ratio Historical Data,RPM PE Ratio Historical Data,RPM PE Ratio Historical Data,RPM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,133.55,,28.0
2024-08-31,116.25,$4.77,24.37
2024-05-31,111.65,$4.56,24.48
2024-02-29,114.4,$4.34,26.36
2023-11-30,101.65,$4.08,24.91
2023-08-31,98.04,$3.97,24.69
2023-05-31,78.07,$3.72,20.99
2023-02-28,86.28,$4.08,21.15
2022-11-30,100.37,$4.12,24.36
2022-08-31,89.82,$4.06,22.12
2022-05-31,84.52,$3.79,22.3
2022-02-28,80.76,$3.45,23.41
2021-11-30,86.57,$3.49,24.8
2021-08-31,77.87,$3.51,22.19
2021-05-31,88.13,$3.86,22.83
2021-02-28,74.73,$3.50,21.35
2020-11-30,82.22,$3.30,24.92
2020-08-31,78.86,$2.91,27.1
2020-05-31,69.25,$2.34,29.59
2020-02-29,59.03,$2.52,23.43
2019-11-30,67.56,$2.54,26.6
2019-08-31,61.68,$2.32,26.59
2019-05-31,48.51,$2.02,24.02
2019-02-28,52.15,$1.63,32.0
2018-11-30,59.05,$1.82,32.44
2018-08-31,60.07,$2.15,27.94
2018-05-31,43.82,$2.49,17.6
2018-02-28,43.78,$2.80,15.64
2017-11-30,46.31,$2.59,17.88
2017-08-31,42.55,$1.35,31.52
2017-05-31,46.87,$1.32,35.5
2017-02-28,45.79,$1.51,30.32
2016-11-30,45.2,$1.56,28.98
2016-08-31,46.3,$2.72,17.02
2016-05-31,42.39,$2.63,16.12
2016-02-29,34.31,$2.44,14.06
2015-11-30,39.19,$1.86,21.07
2015-08-31,36.35,$1.76,20.65
2015-05-31,41.25,$1.75,23.57
2015-02-28,41.45,$1.61,25.75
2014-11-30,38.9,$2.17,17.93
2014-08-31,38.19,$2.13,17.93
2014-05-31,34.72,$2.17,16.0
2014-02-28,33.55,$1.86,18.04
2013-11-30,31.56,$1.41,22.39
2013-08-31,26.91,$1.24,21.7
2013-05-31,26.06,$0.73,35.7
2013-02-28,23.75,$0.88,26.99
2012-11-30,22.48,$1.26,17.84
2012-08-31,21.06,$1.33,15.83
2012-05-31,20.09,$1.66,12.1
2012-02-29,18.04,$1.56,11.56
2011-11-30,17.67,$1.52,11.63
2011-08-31,15.45,$1.52,10.16
2011-05-31,17.26,$1.46,11.82
2011-02-28,16.72,$1.39,12.03
2010-11-30,14.77,$1.31,11.27
2010-08-31,12.07,$1.36,8.87
2010-05-31,13.99,$1.14,12.27
2010-02-28,13.46,$0.43,31.3
2009-11-30,13.57,$1.07,12.69
