Royal Bank Of Canada PE Ratio Historical Data,Royal Bank Of Canada PE Ratio Historical Data,Royal Bank Of Canada PE Ratio Historical Data,Royal Bank Of Canada PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,126.47,,15.29
2024-07-31,111.74,$8.27,13.51
2024-04-30,95.59,$8.06,11.86
2024-01-31,95.37,$7.94,12.01
2023-10-31,77.24,$7.79,9.92
2023-07-31,94.69,$7.71,12.28
2023-04-30,93.89,$7.61,12.34
2023-01-31,95.82,$8.05,11.9
2022-10-31,85.72,$8.60,9.97
2022-07-31,89.47,$8.67,10.32
2022-04-30,91.74,$9.14,10.04
2022-01-31,102.63,$8.99,11.42
2021-10-31,92.81,$8.81,10.53
2021-07-31,89.52,$8.37,10.7
2021-04-30,83.72,$7.56,11.07
2021-01-31,70.32,$6.11,11.51
2020-10-31,60.24,$5.86,10.28
2020-07-31,58.81,$5.82,10.1
2020-04-30,51.83,$5.87,8.83
2020-01-31,65.59,$6.78,9.67
2019-10-31,66.34,$6.58,10.08
2019-07-31,64.27,$6.61,9.72
2019-04-30,64.28,$6.58,9.77
2019-01-31,60.86,$6.55,9.29
2018-10-31,57.62,$6.52,8.84
2018-07-31,61.04,$6.35,9.61
2018-04-30,58.99,$6.10,9.67
2018-01-31,65.81,$5.87,11.21
2017-10-31,59.52,$5.76,10.33
2017-07-31,56.28,$5.52,10.2
2017-04-30,51.21,$5.43,9.43
2017-01-31,53.26,$4.04,13.18
2016-10-31,45.89,$3.74,12.27
2016-07-31,44.33,$3.79,11.7
2016-03-31,41.01,$3.85,10.65
2016-01-31,36.5,$5.19,7.03
2015-10-31,40.03,$5.32,7.52
2015-07-31,40.67,$5.38,7.56
2015-04-30,45.87,$5.48,8.37
2015-01-31,38.67,$5.49,7.04
2014-10-31,48.15,$5.43,8.87
2014-07-31,49.47,$5.36,9.23
2014-04-30,44.37,$5.35,8.29
2014-01-31,40.71,$5.23,7.78
2013-10-31,43.78,$5.29,8.28
2013-07-31,40.22,$5.24,7.68
2013-04-30,38.61,$5.28,7.31
2013-01-31,39.43,$5.01,7.87
2012-10-31,35.73,$4.93,7.25
2012-07-31,31.7,$4.72,6.72
2012-04-30,35.44,$3.13,11.32
2012-01-31,31.79,$3.20,9.93
2011-10-31,29.4,$3.24,9.07
2011-07-31,31.93,$2.92,10.94
2011-04-30,37.04,$3.83,9.67
2011-01-31,31.33,$3.66,8.56
2010-10-31,31.12,$3.35,9.29
2010-07-31,30.2,$3.40,8.88
2010-04-30,34.63,$3.61,9.59
2010-01-31,27.85,$2.69,10.35
2009-10-31,28.34,$2.33,12.16
