Grand Canyon Education PE Ratio Historical Data,Grand Canyon Education PE Ratio Historical Data,Grand Canyon Education PE Ratio Historical Data,Grand Canyon Education PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,133.29,,18.06
2024-06-30,139.91,$7.38,18.96
2024-03-31,136.21,$7.15,19.05
2023-12-31,132.04,$6.80,19.42
2023-09-30,116.88,$6.39,18.29
2023-06-30,103.21,$6.16,16.75
2023-03-31,113.9,$6.00,18.98
2022-12-31,105.66,$5.72,18.47
2022-09-30,82.25,$5.57,14.77
2022-06-30,94.19,$5.69,16.55
2022-03-31,97.11,$5.98,16.24
2021-12-31,85.71,$6.01,14.26
2021-09-30,87.96,$5.72,15.38
2021-06-30,89.97,$5.75,15.65
2021-03-31,107.1,$5.66,18.92
2020-12-31,93.11,$5.46,17.05
2020-09-30,79.94,$5.19,15.4
2020-06-30,90.53,$5.28,17.15
2020-03-31,76.29,$5.34,14.29
2019-12-31,95.79,$5.37,17.84
2019-09-30,98.2,$5.34,18.39
2019-06-30,117.02,$4.84,24.18
2019-03-31,114.51,$4.73,24.21
2018-12-31,96.14,$4.73,20.33
2018-09-30,112.8,$4.58,24.63
2018-06-30,111.61,$4.69,23.8
2018-03-31,104.92,$4.57,22.96
2017-12-31,89.53,$4.21,21.27
2017-09-30,90.82,$3.81,23.84
2017-06-30,78.41,$3.62,21.66
2017-03-31,71.61,$3.38,21.19
2016-12-31,58.45,$3.15,18.56
2016-09-30,40.39,$2.95,13.69
2016-06-30,39.92,$3.03,13.17
2016-03-31,42.74,$2.99,14.29
2015-12-31,40.12,$2.78,14.43
2015-09-30,37.99,$2.67,14.23
2015-06-30,42.4,$2.59,16.37
2015-03-31,43.3,$2.53,17.11
2014-12-31,46.66,$2.37,19.69
2014-09-30,40.77,$2.23,18.28
2014-06-30,45.97,$2.10,21.89
2014-03-31,46.7,$2.03,23.0
2013-12-31,43.6,$1.93,22.59
2013-09-30,40.24,$1.83,21.99
2013-06-30,32.23,$1.75,18.42
2013-03-31,25.39,$1.68,15.11
2012-12-31,23.47,$1.56,15.04
2012-09-30,23.53,$1.39,16.93
2012-06-30,20.94,$1.27,16.49
2011-12-31,15.96,$1.17,13.64
2011-09-30,16.15,$0.99,16.31
2011-06-30,14.18,$1.02,13.9
2011-03-31,14.5,$1.01,14.36
2010-12-31,19.59,$1.03,19.02
2012-03-31,17.76,$1.12,15.86
2010-09-30,21.93,$1.04,21.09
2010-06-30,23.43,$0.84,27.89
2010-03-31,26.14,$0.70,37.34
2009-12-31,19.01,$0.60,31.68
