Verisk Analytics PE Ratio Historical Data,Verisk Analytics PE Ratio Historical Data,Verisk Analytics PE Ratio Historical Data,Verisk Analytics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,272.82,,44.29
2024-06-30,269.55,$6.16,43.76
2024-03-31,235.38,$5.36,43.91
2023-12-31,238.11,$4.21,56.56
2023-09-30,235.16,$3.40,69.16
2023-06-30,224.69,$3.31,67.88
2023-03-31,190.43,$3.20,59.51
2022-12-31,174.77,$5.96,29.32
2022-09-30,168.65,$6.44,26.19
2022-06-30,170.9,$6.48,26.37
2022-03-31,211.5,$6.18,34.22
2021-12-31,225.02,$4.08,55.15
2021-09-30,196.77,$4.28,45.97
2021-06-30,171.42,$4.16,41.21
2021-03-31,173.06,$4.30,40.25
2020-12-31,202.99,$4.07,49.87
2020-09-30,180.95,$3.20,56.55
2020-06-30,165.95,$2.98,55.69
2019-12-31,145.09,$2.71,53.54
2019-09-30,153.38,$2.78,55.17
2019-06-30,141.83,$3.62,39.18
2019-03-31,128.57,$3.71,34.66
2018-12-31,105.21,$3.81,27.61
2020-03-31,135.68,$3.73,36.37
2018-09-30,116.31,$3.91,29.75
2018-06-30,103.85,$3.64,28.53
2018-03-31,100.34,$3.45,29.08
2017-12-31,92.62,$3.30,28.07
2017-09-30,80.26,$2.72,29.51
2017-06-30,81.4,$2.74,29.71
2017-03-31,78.29,$3.55,22.05
2016-12-31,78.32,$3.45,22.7
2016-09-30,78.42,$3.47,22.6
2016-06-30,78.23,$3.50,22.35
2016-03-31,77.11,$2.94,26.23
2015-12-31,74.18,$3.01,24.64
2015-09-30,71.31,$2.93,24.34
2015-06-30,70.2,$2.74,25.62
2015-03-31,68.89,$2.29,30.08
2014-12-31,61.8,$2.36,26.19
2014-09-30,58.75,$2.29,25.65
2014-06-30,57.91,$2.27,25.51
2014-03-31,57.85,$2.24,25.83
2013-12-31,63.41,$2.03,31.24
2013-09-30,62.68,$2.09,29.99
2013-06-30,57.6,$2.01,28.66
2013-03-31,59.45,$1.95,30.49
2012-12-31,49.18,$1.92,25.61
2012-09-30,45.94,$1.82,25.24
2012-06-30,47.53,$1.75,27.16
2012-03-31,45.32,$1.70,26.66
2011-12-31,38.72,$1.63,23.75
2011-09-30,33.55,$1.53,21.93
2011-06-30,33.4,$1.46,22.88
2011-03-31,31.61,$1.39,22.74
2010-12-31,32.88,$1.31,25.1
2010-09-30,27.02,$0.91,29.7
