Ryman Hospitality Properties PE Ratio Historical Data,Ryman Hospitality Properties PE Ratio Historical Data,Ryman Hospitality Properties PE Ratio Historical Data,Ryman Hospitality Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,111.18,,20.86
2024-06-30,98.85,$5.33,18.55
2024-03-31,113.19,$4.83,23.43
2023-12-31,106.74,$5.18,20.61
2023-09-30,79.98,$3.84,20.83
2023-06-30,88.19,$3.99,22.1
2023-03-31,84.26,$3.75,22.47
2022-12-31,76.13,$2.28,33.39
2022-09-30,68.29,$1.14,59.91
2022-06-30,70.46,$0.19,370.84
2022-03-31,85.97,$-1.77,0.0
2021-12-31,85.22,$-3.22,0.0
2021-09-30,77.57,$-4.56,0.0
2021-06-30,73.18,$-6.54,0.0
2021-03-31,71.83,$-8.65,0.0
2020-12-31,62.8,$-7.60,0.0
2020-09-30,34.1,$-5.30,0.0
2020-06-30,32.07,$-2.73,0.0
2020-03-31,33.22,$1.38,24.08
2019-12-31,78.24,$2.80,27.94
2019-09-30,73.1,$5.04,14.5
2019-06-30,71.67,$5.05,14.19
2019-03-31,71.87,$5.18,13.88
2018-12-31,57.66,$5.14,11.22
2018-09-30,73.57,$3.46,21.26
2018-06-30,70.3,$3.48,20.2
2018-03-31,64.81,$3.32,19.52
2017-12-31,57.12,$3.42,16.7
2017-09-30,51.13,$2.95,17.33
2017-06-30,51.71,$3.15,16.42
2017-03-31,49.35,$3.23,15.28
2016-12-31,49.64,$3.11,15.96
2016-09-30,37.49,$2.92,12.84
2016-06-30,38.83,$2.78,13.97
2016-03-31,38.86,$2.58,15.06
2015-12-31,38.42,$2.16,17.79
2015-09-30,36.15,$2.62,13.8
2015-06-30,38.44,$2.35,16.36
2015-03-31,43.57,$1.93,22.57
2014-12-31,37.32,$2.16,17.28
2014-09-30,33.14,$1.43,23.18
2014-06-30,33.35,$1.48,22.53
2014-03-31,29.11,$1.28,22.74
2013-12-31,28.23,$1.77,15.95
2013-09-30,23.05,$0.97,23.76
2013-06-30,25.68,$0.10,256.83
2013-03-31,29.7,$0.09,330.03
2012-12-31,24.7,$-0.60,0.0
2012-09-30,20.83,$-0.18,0.0
2012-06-30,20.32,$0.36,56.45
2012-03-31,16.23,$0.36,45.09
2011-12-31,12.72,$0.20,63.61
2011-09-30,10.19,$-0.59,0.0
2011-06-30,15.81,$-1.23,0.0
2011-03-31,18.28,$-1.88,0.0
2010-12-31,18.94,$-1.88,0.0
2010-09-30,16.07,$-1.20,0.0
2010-06-30,11.64,$-0.84,0.0
2010-03-31,15.44,$-0.12,0.0
2009-12-31,10.41,$0.00,0.0
